Point in Time[s],State of Active Resource[]
0.0,0
37246.566,1
37246.566,0
37247.566,1
37247.566,0
37248.566,1
37248.566,0
37249.566,1
37249.566,0
37250.566,1
37250.566,0
37251.566,1
37251.566,0
37252.566,1
37252.566,0
37253.566,1
37253.566,0
37254.566,1
37254.566,0
37255.566,1
37255.566,0
37256.566,1
37256.566,0
37257.566,1
37257.566,0
37258.566,1
37258.566,0
37259.566,1
37259.566,0
37260.566,1
37260.566,0
37261.566,1
37261.566,0
37262.566,1
37262.566,0
37263.566,1
37263.566,0
37264.566,1
37264.566,0
37265.566,1
37265.566,0
37266.566,1
37266.566,0
37267.566,1
37267.566,0
37268.566,1
37268.566,0
37269.566,1
37269.566,0
37270.566,1
37270.566,0
37271.566,1
37271.566,0
37272.566,1
37272.566,0
37273.566,1
37273.566,0
37274.566,1
37274.566,0
37275.566,1
37275.566,0
37276.566,1
37276.566,0
37277.566,1
37277.566,0
37278.566,1
37278.566,0
37279.566,1
37279.566,0
37280.566,1
37280.566,0
37281.566,1
37281.566,0
37282.566,1
37282.566,0
37283.566,1
37283.566,0
37284.566,1
37284.566,0
37285.566,1
37285.566,0
37286.566,1
37286.566,0
37287.566,1
37287.566,0
37288.566,1
37288.566,0
37289.566,1
37289.566,0
37290.566,1
37290.566,0
37291.566,1
37291.566,0
37292.566,1
37292.566,0
37293.566,1
37293.566,0
37294.566,1
37294.566,0
37295.566,1
37295.566,0
37296.566,1
37296.566,0
37297.566,1
37297.566,0
37298.566,1
37298.566,0
37299.566,1
37299.566,0
37300.566,1
37300.566,0
37301.566,1
37301.566,0
37302.566,1
37302.566,0
37303.566,1
37303.566,0
37304.566,1
37304.566,0
37305.566,1
37305.566,0
37306.566,1
37306.566,0
37307.566,1
37307.566,0
37308.566,1
37308.566,0
37309.566,1
37309.566,0
37310.566,1
37310.566,0
37311.566,1
37311.566,0
37312.566,1
37312.566,0
37313.566,1
37313.566,0
37314.566,1
37314.566,0
37315.566,1
37315.566,0
37316.566,1
37316.566,0
37317.566,1
37317.566,0
37318.566,1
37318.566,0
37319.566,1
37319.566,0
37320.566,1
37320.566,0
37321.566,1
37321.566,0
37322.566,1
37322.566,0
37323.566,1
37323.566,0
37324.566,1
37324.566,0
37325.566,1
37325.566,0
37326.566,1
37326.566,0
37327.566,1
37327.566,0
37328.566,1
37328.566,0
37329.566,1
37329.566,0
37330.566,1
37330.566,0
37331.566,1
37331.566,0
37332.566,1
37332.566,0
37333.566,1
37333.566,0
37334.566,1
37334.566,0
37335.566,1
37335.566,0
37336.566,1
37336.566,0
37337.566,1
37337.566,0
37338.566,1
37338.566,0
37339.566,1
37339.566,0
37340.566,1
37340.566,0
