Point in Time[s],Optimisation Time[s]
10.0,0.118
20.0,0.036
30.0,0.043
40.0,0.024
50.0,0.043
60.0,0.025
70.0,0.029
80.0,0.039
90.0,0.029
100.0,0.049
110.0,0.023
120.0,0.026
130.0,0.039
140.0,0.021
150.0,0.022
160.0,0.043
170.0,0.023
180.0,0.031
190.0,0.023
200.0,0.034
210.0,0.021
220.0,0.033
230.0,0.027
240.0,0.02
250.0,0.022
260.0,0.028
270.0,0.027
280.0,0.027
290.0,0.026
300.0,0.019
310.0,0.028
320.0,0.018
330.0,0.018
340.0,0.026
350.0,0.025
360.0,0.025
370.0,0.024
380.0,0.029
390.0,0.026
400.0,0.02
410.0,0.026
420.0,0.023
430.0,0.021
440.0,0.019
450.0,0.026
460.0,0.018
470.0,0.019
480.0,0.025
490.0,0.019
500.0,0.023
510.0,0.018
520.0,0.02
530.0,0.018
540.0,0.017
550.0,0.018
560.0,0.032
570.0,0.02
580.0,0.017
590.0,0.021
600.0,0.018
610.0,0.022
620.0,0.023
630.0,0.028
640.0,0.021
650.0,0.016
660.0,0.017
670.0,0.022
680.0,0.018
690.0,0.019
700.0,0.022
710.0,0.018
720.0,0.013
730.0,0.017
740.0,0.017
750.0,0.022
760.0,0.013
770.0,0.017
780.0,0.011
790.0,0.017
800.0,0.021
810.0,0.018
820.0,0.019
830.0,0.019
840.0,0.021
850.0,0.016
860.0,0.023
870.0,0.017
880.0,0.018
890.0,0.022
900.0,0.017
910.0,0.021
920.0,0.02
930.0,0.019
940.0,0.014
950.0,0.017
960.0,0.031
970.0,0.017
980.0,0.017
990.0,0.017
1000.0,0.022
1010.0,0.016
1020.0,0.016
1030.0,0.019
1040.0,0.034
1050.0,0.015
1060.0,0.026
1070.0,0.016
1080.0,0.019
1090.0,0.018
1100.0,0.016
1110.0,0.02
1120.0,0.017
1130.0,0.021
1140.0,0.02
1150.0,0.021
1160.0,0.021
1170.0,0.017
1180.0,0.017
1190.0,0.02
1200.0,0.015
1210.0,0.016
1220.0,0.019
1230.0,0.015
1240.0,0.015
1250.0,0.027
1260.0,0.021
1270.0,0.016
1280.0,0.023
1290.0,0.024
1300.0,0.021
1310.0,0.019
1320.0,0.021
1330.0,0.025
1340.0,0.016
1350.0,0.024
1360.0,0.018
1370.0,0.025
1380.0,0.017
1390.0,0.021
1400.0,0.02
1410.0,0.015
1420.0,0.016
1430.0,0.016
1440.0,0.017
1450.0,0.035
1460.0,0.021
1470.0,0.016
1480.0,0.019
1490.0,0.022
1500.0,0.021
1510.0,0.016
1520.0,0.023
1530.0,0.017
1540.0,0.025
1550.0,0.016
1560.0,0.02
1570.0,0.016
1580.0,0.022
1590.0,0.02
1600.0,0.027
1610.0,0.017
1620.0,0.022
1630.0,0.024
1640.0,0.016
1650.0,0.017
1660.0,0.016
1670.0,0.012
1680.0,0.018
1690.0,0.017
1700.0,0.023
1710.0,0.017
1720.0,0.026
1730.0,0.021
1740.0,0.019
1750.0,0.128
1760.0,0.02
1770.0,0.018
1780.0,0.024
1790.0,0.011
1800.0,0.019
1810.0,0.023
1820.0,0.024
1830.0,0.017
1840.0,0.012
1850.0,0.016
1860.0,0.019
1870.0,0.019
1880.0,0.02
1890.0,0.017
1900.0,0.026
1910.0,0.019
1920.0,0.024
1930.0,0.022
1940.0,0.022
1950.0,0.021
1960.0,0.012
1970.0,0.017
1980.0,0.012
1990.0,0.018
2000.0,0.016
2010.0,0.014
2020.0,0.022
2030.0,0.017
2040.0,0.016
2050.0,0.017
2060.0,0.014
2070.0,0.014
2080.0,0.019
2090.0,0.019
2100.0,0.013
2110.0,0.017
2120.0,0.016
2130.0,0.014
2140.0,0.018
2150.0,0.018
2160.0,0.017
2170.0,0.012
2180.0,0.015
2190.0,0.019
2200.0,0.018
2210.0,0.019
2220.0,0.016
2230.0,0.016
2240.0,0.022
2250.0,0.018
2260.0,0.02
2270.0,0.01
2280.0,0.012
2290.0,0.018
2300.0,0.012
2310.0,0.018
2320.0,0.018
2330.0,0.017
2340.0,0.018
2350.0,0.013
2360.0,0.023
2370.0,0.017
2380.0,0.016
2390.0,0.017
2400.0,0.013
2410.0,0.018
2420.0,0.017
2430.0,0.025
2440.0,0.021
2450.0,0.017
2460.0,0.017
2470.0,0.016
2480.0,0.014
2490.0,0.021
2500.0,0.02
2510.0,0.02
2520.0,0.017
2530.0,0.013
2540.0,0.02
2550.0,0.019
2560.0,0.02
2570.0,0.016
2580.0,0.016
2590.0,0.021
2600.0,0.016
2610.0,0.011
2620.0,0.018
2630.0,0.01
2640.0,0.019
2650.0,0.016
2660.0,0.023
2670.0,0.02
2680.0,0.017
2690.0,0.016
2700.0,0.015
2710.0,0.018
2720.0,0.021
2730.0,0.017
2740.0,0.02
2750.0,0.022
2760.0,0.023
2770.0,0.016
2780.0,0.02
2790.0,0.017
2800.0,0.023
2810.0,0.016
2820.0,0.018
2830.0,0.017
2840.0,0.016
2850.0,0.028
2860.0,0.015
2870.0,0.019
2880.0,0.022
2890.0,0.016
2900.0,0.013
2910.0,0.018
2920.0,0.019
2930.0,0.015
2940.0,0.02
2950.0,0.023
2960.0,0.022
2970.0,0.017
