Point in Time[s],State of Active Resource[]
0.0,0
3665.550875,1
3665.550875,0
3666.550875,1
3666.550875,0
3667.550875,1
3667.550875,0
3668.550875,1
3668.550875,0
3669.550875,1
3669.550875,0
3670.5518125,1
3670.5518125,0
3671.5518125,1
3671.5518125,0
3672.5518125,1
3672.5518125,0
3673.5518125,1
3673.5518125,0
3674.55275,1
3674.55275,0
3675.55275,1
3675.55275,0
3676.55275,1
3676.55275,0
3677.55275,1
3677.55275,0
3678.55275,1
3678.55275,0
3679.5536875,1
3679.5536875,0
3680.5536875,1
3680.5536875,0
3681.5536875,1
3681.5536875,0
3682.5536875,1
3682.5536875,0
3683.5549375,1
3683.5549375,0
3684.5549375,1
3684.5549375,0
3685.5549375,1
3685.5549375,0
3686.5549375,1
3686.5549375,0
3687.5549375,1
3687.5549375,0
3688.555874999,1
3688.555874999,0
3689.555874999,1
3689.555874999,0
3690.555874999,1
3690.555874999,0
3691.555874999,1
3691.555874999,0
3692.5549375,1
3692.5549375,0
3693.5549375,1
3693.5549375,0
3694.5549375,1
3694.5549375,0
3695.5549375,1
3695.5549375,0
3696.5549375,1
3696.5549375,0
3697.5536875,1
3697.5536875,0
3698.5536875,1
3698.5536875,0
3699.5536875,1
3699.5536875,0
3700.5536875,1
3700.5536875,0
3701.55275,1
3701.55275,0
3702.55275,1
3702.55275,0
3703.55275,1
3703.55275,0
3704.55275,1
3704.55275,0
3705.55275,1
3705.55275,0
3706.5518125,1
3706.5518125,0
3707.5518125,1
3707.5518125,0
3708.5518125,1
3708.5518125,0
3709.5518125,1
3709.5518125,0
3710.5505625,1
3710.5505625,0
3711.5505625,1
3711.5505625,0
3712.5505625,1
3712.5505625,0
3713.5505625,1
3713.5505625,0
3714.5505625,1
3714.5505625,0
3715.549625,1
3715.549625,0
3716.549625,1
3716.549625,0
3717.549625,1
3717.549625,0
3718.549625,1
3718.549625,0
3719.548687499,1
3719.548687499,0
3720.548687499,1
3720.548687499,0
3721.548687499,1
3721.548687499,0
3722.548687499,1
3722.548687499,0
3723.548687499,1
3723.548687499,0
3724.547749999,1
3724.547749999,0
3725.547749999,1
3725.547749999,0
3726.547749999,1
3726.547749999,0
3727.547749999,1
3727.547749999,0
3728.546499999,1
3728.546499999,0
3729.546499999,1
3729.546499999,0
3730.546499999,1
3730.546499999,0
3731.546499999,1
3731.546499999,0
3732.546499999,1
3732.546499999,0
3733.545562499,1
3733.545562499,0
3734.545562499,1
3734.545562499,0
3735.545562499,1
3735.545562499,0
3736.545562499,1
3736.545562499,0
3737.544624999,1
3737.544624999,0
3738.544624999,1
3738.544624999,0
3739.544624999,1
3739.544624999,0
3740.544624999,1
3740.544624999,0
3741.544624999,1
3741.544624999,0
3742.543374999,1
3742.543374999,0
3743.543374999,1
3743.543374999,0
3744.543374999,1
3744.543374999,0
3745.543374999,1
3745.543374999,0
3746.542437499,1
3746.542437499,0
3747.542437499,1
3747.542437499,0
3748.542437499,1
3748.542437499,0
3749.542437499,1
3749.542437499,0
3750.542437499,1
3750.542437499,0
3751.5415,1
3751.5415,0
3752.5415,1
3752.5415,0
3753.5415,1
3753.5415,0
3754.5415,1
3754.5415,0
3755.5405625,1
3755.5405625,0
3756.5405625,1
3756.5405625,0
3757.5405625,1
3757.5405625,0
3758.5405625,1
3758.5405625,0
3759.5405625,1
3759.5405625,0
3760.5393125,1
3760.5393125,0
3761.5393125,1
3761.5393125,0
3762.5393125,1
3762.5393125,0
3763.5393125,1
3763.5393125,0
3764.538375,1
3764.538375,0
3765.538375,1
3765.538375,0
3766.538375,1
3766.538375,0
3767.538375,1
3767.538375,0
3768.538375,1
3768.538375,0
3769.5374375,1
3769.5374375,0
3770.5374375,1
3770.5374375,0
3771.5374375,1
3771.5374375,0
3772.5374375,1
3772.5374375,0
3773.5361875,1
3773.5361875,0
3774.5361875,1
3774.5361875,0
3775.5361875,1
3775.5361875,0
3776.5361875,1
3776.5361875,0
3777.5361875,1
3777.5361875,0
3778.53525,1
3778.53525,0
3779.53525,1
3779.53525,0
3780.53525,1
3780.53525,0
3781.53525,1
3781.53525,0
3782.53525,1
3782.53525,0
3783.53525,1
3783.53525,0
3784.53525,1
3784.53525,0
3785.53525,1
3785.53525,0
3786.53525,1
3786.53525,0
3787.53525,1
3787.53525,0
3788.53525,1
3788.53525,0
3789.53525,1
3789.53525,0
3790.53525,1
3790.53525,0
3791.53525,1
3791.53525,0
3792.53525,1
3792.53525,0
3793.53525,1
3793.53525,0
3794.53525,1
3794.53525,0
3795.53525,1
3795.53525,0
3796.53525,1
3796.53525,0
3797.53525,1
3797.53525,0
3798.53525,1
3798.53525,0
3799.53525,1
3799.53525,0
3800.53525,1
3800.53525,0
3801.53525,1
3801.53525,0
3802.53525,1
3802.53525,0
3803.53525,1
3803.53525,0
3804.53525,1
3804.53525,0
3805.53525,1
3805.53525,0
3806.53525,1
3806.53525,0
3807.53525,1
3807.53525,0
3808.53525,1
3808.53525,0
3809.53525,1
3809.53525,0
3810.53525,1
3810.53525,0
3811.53525,1
3811.53525,0
3812.53525,1
3812.53525,0
3813.53525,1
3813.53525,0
3814.53525,1
3814.53525,0
3815.53525,1
3815.53525,0
3816.53525,1
3816.53525,0
3817.53525,1
3817.53525,0
3818.53525,1
3818.53525,0
3819.53525,1
3819.53525,0
3820.53525,1
3820.53525,0
3821.53525,1
3821.53525,0
3822.53525,1
3822.53525,0
3823.53525,1
3823.53525,0
3824.53525,1
3824.53525,0
3825.53525,1
3825.53525,0
3826.53525,1
3826.53525,0
3827.53525,1
3827.53525,0
3828.53525,1
3828.53525,0
3829.53525,1
3829.53525,0
3830.53525,1
3830.53525,0
3831.53525,1
3831.53525,0
3832.53525,1
3832.53525,0
3833.53525,1
3833.53525,0
3834.53525,1
3834.53525,0
3835.53525,1
3835.53525,0
3836.53525,1
3836.53525,0
3837.53525,1
3837.53525,0
3838.53525,1
3838.53525,0
3839.53525,1
3839.53525,0
3840.53525,1
3840.53525,0
3841.53525,1
3841.53525,0
3842.53525,1
3842.53525,0
3843.53525,1
3843.53525,0
3844.53525,1
3844.53525,0
3845.53525,1
3845.53525,0
3846.53525,1
3846.53525,0
3847.53525,1
3847.53525,0
3848.53525,1
3848.53525,0
3849.53525,1
3849.53525,0
3850.53525,1
3850.53525,0
3851.53525,1
3851.53525,0
3852.53525,1
3852.53525,0
3853.53525,1
3853.53525,0
3854.53525,1
3854.53525,0
3855.53525,1
3855.53525,0
3856.53525,1
3856.53525,0
3857.53525,1
3857.53525,0
3858.53525,1
3858.53525,0
3859.53525,1
3859.53525,0
3860.53525,1
3860.53525,0
3861.53525,1
3861.53525,0
3862.53525,1
3862.53525,0
3863.53525,1
3863.53525,0
3864.53525,1
3864.53525,0
3865.53525,1
3865.53525,0
3866.53525,1
3866.53525,0
3867.53525,1
3867.53525,0
3868.53525,1
3868.53525,0
3869.53525,1
3869.53525,0
3870.53525,1
3870.53525,0
3871.53525,1
3871.53525,0
3872.534312499,1
3872.534312499,0
3873.534312499,1
3873.534312499,0
3874.534312499,1
3874.534312499,0
3875.534312499,1
3875.534312499,0
3876.533374999,1
3876.533404163,0
3877.533374999,1
3877.533404163,0
3878.533374999,1
3878.533404163,0
3879.533374999,1
3879.533404163,0
3880.533374999,1
3880.533404163,0
3881.532437499,1
3881.532466663,0
3882.532437499,1
3882.532466663,0
3883.532437499,1
3883.532466663,0
3884.532437499,1
3884.532466663,0
3885.531187499,1
3885.531245827,0
3886.531187499,1
3886.531245827,0
3887.531187499,1
3887.531245827,0
3888.531187499,1
3888.531245827,0
3889.531187499,1
3889.531245827,0
3890.53025,1
3890.530337493,0
3891.53025,1
3891.530337493,0
3892.53025,1
3892.530337493,0
3893.53025,1
3893.530337493,0
3894.5293125,1
3894.529399993,0
3895.5293125,1
3895.529399993,0
3896.5293125,1
3896.529399993,0
3897.5293125,1
3897.529399993,0
3898.5293125,1
3898.529399993,0
3899.528375,1
3899.528491657,0
3900.528375,1
3900.528491657,0
3901.528375,1
3901.528491657,0
3902.528375,1
3902.528491657,0
3903.527125,1
3903.527241657,0
3904.527125,1
3904.527241657,0
3905.527125,1
3905.527241657,0
3906.527125,1
3906.527241657,0
3907.527125,1
3907.527241657,0
3908.5261875,1
3908.526333321,0
3909.5261875,1
3909.526333321,0
3910.5261875,1
3910.526333321,0
3911.5261875,1
3911.526333321,0
3912.525249999,1
3912.52539582,0
3913.525249999,1
3913.52539582,0
3914.525249999,1
3914.52539582,0
3915.525249999,1
3915.52539582,0
3916.525249999,1
3916.52539582,0
3917.524,1
3917.524174986,0
3918.524,1
3918.524174986,0
3919.524,1
3919.524174986,0
3920.524,1
3920.524174986,0
3921.523062499,1
3921.523237485,0
3922.523062499,1
3922.523237485,0
3923.523062499,1
3923.523237485,0
3924.523062499,1
3924.523237485,0
3925.522124999,1
3925.522329149,0
3926.522124999,1
3926.522329149,0
3927.522124999,1
3927.522329149,0
3928.522124999,1
3928.522329149,0
3929.522124999,1
3929.522329149,0
3930.520874999,1
3930.521079149,0
3931.520874999,1
3931.521079149,0
3932.520874999,1
3932.521079149,0
3933.520874999,1
3933.521079149,0
3934.519937499,1
3934.520170813,0
3935.519937499,1
3935.520170813,0
3936.519937499,1
3936.520170813,0
3937.519937499,1
3937.520170813,0
3938.519937499,1
3938.520170813,0
3939.518999999,1
3939.519233313,0
3940.518999999,1
3940.519233313,0
3941.518999999,1
3941.519233313,0
3942.518999999,1
3942.519233313,0
3943.517749999,1
3943.518012478,0
3944.517749999,1
3944.518012478,0
3945.517749999,1
3945.518012478,0
3946.517749999,1
3946.518012478,0
3947.517749999,1
3947.518012478,0
3948.516812499,1
3948.517074978,0
3949.516812499,1
3949.517074978,0
3950.516812499,1
3950.517074978,0
3951.516812499,1
3951.517074978,0
3952.515875,1
3952.516166643,0
3953.515875,1
3953.516166643,0
3954.515875,1
3954.516166643,0
3955.515875,1
3955.516166643,0
3956.515875,1
3956.516166643,0
3957.514625,1
3957.514916643,0
3958.514625,1
3958.514916643,0
3959.514625,1
3959.514916643,0
3960.514625,1
3960.514916643,0
3961.516499999,1
3961.516820806,0
3962.516499999,1
3962.516820806,0
3963.516499999,1
3963.516820806,0
3964.516499999,1
3964.516820806,0
3965.516499999,1
3965.516820806,0
3966.518375,1
3966.518724972,0
3967.518375,1
3967.518724972,0
