Point in Time[s],Optimisation Time[s]
10.0,0.099
20.0,0.053
30.0,0.025
40.0,0.015
50.0,0.055
60.0,0.01
70.0,0.011
80.0,0.009
90.0,0.01
100.0,0.023
110.0,0.011
120.0,0.009
130.0,0.009
140.0,0.01
150.0,0.011
160.0,0.032
170.0,0.009
180.0,0.011
190.0,0.01
200.0,0.011
210.0,0.022
220.0,0.012
230.0,0.013
240.0,0.009
250.0,0.01
260.0,0.009
270.0,0.017
280.0,0.011
290.0,0.009
300.0,0.015
310.0,0.01
320.0,0.012
330.0,0.013
340.0,0.01
350.0,0.008
360.0,0.025
370.0,0.008
380.0,0.009
390.0,0.009
400.0,0.017
410.0,0.01
420.0,0.008
430.0,0.019
440.0,0.009
450.0,0.032
460.0,0.008
470.0,0.008
480.0,0.009
490.0,0.008
500.0,0.026
510.0,0.007
520.0,0.009
530.0,0.007
540.0,0.008
550.0,0.009
560.0,0.014
570.0,0.015
580.0,0.007
590.0,0.011
600.0,0.007
610.0,0.008
620.0,0.008
630.0,0.007
640.0,0.011
650.0,0.008
660.0,0.009
670.0,0.01
680.0,0.011
690.0,0.007
700.0,0.008
710.0,0.011
720.0,0.008
730.0,0.007
740.0,0.006
750.0,0.01
760.0,0.009
770.0,0.009
780.0,0.021
790.0,0.009
800.0,0.017
810.0,0.009
820.0,0.007
830.0,0.011
840.0,0.007
850.0,0.008
860.0,0.009
870.0,0.012
880.0,0.008
890.0,0.007
900.0,0.008
910.0,0.012
920.0,0.007
930.0,0.01
940.0,0.007
950.0,0.008
960.0,0.008
970.0,0.007
980.0,0.038
990.0,0.007
1000.0,0.007
1010.0,0.007
1020.0,0.008
1030.0,0.008
1040.0,0.008
1050.0,0.027
1060.0,0.01
1070.0,0.008
1080.0,0.008
1090.0,0.011
1100.0,0.007
1110.0,0.007
1120.0,0.007
1130.0,0.007
1140.0,0.018
1150.0,0.007
1160.0,0.009
1170.0,0.017
1180.0,0.007
1190.0,0.009
1200.0,0.007
1210.0,0.008
1220.0,0.008
1230.0,0.006
1240.0,0.007
1250.0,0.011
1260.0,0.008
1270.0,0.007
1280.0,0.007
1290.0,0.007
1300.0,0.017
1310.0,0.009
1320.0,0.006
1330.0,0.01
1340.0,0.008
1350.0,0.007
1360.0,0.01
1370.0,0.013
1380.0,0.009
1390.0,0.01
1400.0,0.014
1410.0,0.007
1420.0,0.007
1430.0,0.01
1440.0,0.007
1450.0,0.007
1460.0,0.008
1470.0,0.008
1480.0,0.007
1490.0,0.008
1500.0,0.009
1510.0,0.013
1520.0,0.008
1530.0,0.007
1540.0,0.007
1550.0,0.008
1560.0,0.007
1570.0,0.007
1580.0,0.007
1590.0,0.007
1600.0,0.007
1610.0,0.007
1620.0,0.019
1630.0,0.008
1640.0,0.007
1650.0,0.009
1660.0,0.007
1670.0,0.007
1680.0,0.007
1690.0,0.006
1700.0,0.007
1710.0,0.009
1720.0,0.007
1730.0,0.008
1740.0,0.008
1750.0,0.007
1760.0,0.009
1770.0,0.007
1780.0,0.007
1790.0,0.01
1800.0,0.006
1810.0,0.009
1820.0,0.007
1830.0,0.009
1840.0,0.007
1850.0,0.007
1860.0,0.007
1870.0,0.007
1880.0,0.006
1890.0,0.007
1900.0,0.007
1910.0,0.009
1920.0,0.009
1930.0,0.007
1940.0,0.006
1950.0,0.01
1960.0,0.008
1970.0,0.007
1980.0,0.01
1990.0,0.016
2000.0,0.007
2010.0,0.012
2020.0,0.009
2030.0,0.008
2040.0,0.015
2050.0,0.007
2060.0,0.007
2070.0,0.011
2080.0,0.008
2090.0,0.018
2100.0,0.007
2110.0,0.007
2120.0,0.007
2130.0,0.008
2140.0,0.007
2150.0,0.007
2160.0,0.009
2170.0,0.007
2180.0,0.009
2190.0,0.007
2200.0,0.007
2210.0,0.013
2220.0,0.007
2230.0,0.008
2240.0,0.007
2250.0,0.007
2260.0,0.007
2270.0,0.007
2280.0,0.019
2290.0,0.014
2300.0,0.007
2310.0,0.007
2320.0,0.008
2330.0,0.009
2340.0,0.007
2350.0,0.007
2360.0,0.007
2370.0,0.01
2380.0,0.008
2390.0,0.006
2400.0,0.007
2410.0,0.007
2420.0,0.012
2430.0,0.008
2440.0,0.006
2450.0,0.009
2460.0,0.007
2470.0,0.019
2480.0,0.01
2490.0,0.012
2500.0,0.007
2510.0,0.012
2520.0,0.008
2530.0,0.007
2540.0,0.006
2550.0,0.011
2560.0,0.008
2570.0,0.008
2580.0,0.009
2590.0,0.01
2600.0,0.007
2610.0,0.007
2620.0,0.009
2630.0,0.006
2640.0,0.007
2650.0,0.01
2660.0,0.006
2670.0,0.008
2680.0,0.007
2690.0,0.007
2700.0,0.008
2710.0,0.006
2720.0,0.007
2730.0,0.007
2740.0,0.007
2750.0,0.006
2760.0,0.006
2770.0,0.006
2780.0,0.015
2790.0,0.012
2800.0,0.006
2810.0,0.01
2820.0,0.011
2830.0,0.009
2840.0,0.02
2850.0,0.007
2860.0,0.009
2870.0,0.007
2880.0,0.014
2890.0,0.007
2900.0,0.007
2910.0,0.007
2920.0,0.009
2930.0,0.007
2940.0,0.009
2950.0,0.008
2960.0,0.019
2970.0,0.007
2980.0,0.009
2990.0,0.007
3000.0,0.007
3010.0,0.013
3020.0,0.006
3030.0,0.006
3040.0,0.01
3050.0,0.007
3060.0,0.006
3070.0,0.009
3080.0,0.008
3090.0,0.007
3100.0,0.006
3110.0,0.008
3120.0,0.007
3130.0,0.01
3140.0,0.007
3150.0,0.015
3160.0,0.007
3170.0,0.006
3180.0,0.009
3190.0,0.018
3200.0,0.037
3210.0,0.007
3220.0,0.007
3230.0,0.008
3240.0,0.01
3250.0,0.014
3260.0,0.007
3270.0,0.007
3280.0,0.008
3290.0,0.008
3300.0,0.007
3310.0,0.007
3320.0,0.009
3330.0,0.01
3340.0,0.008
3350.0,0.008
3360.0,0.008
3370.0,0.008
3380.0,0.006
3390.0,0.009
3400.0,0.007
3410.0,0.006
3420.0,0.006
3430.0,0.007
3440.0,0.007
3450.0,0.007
3460.0,0.007
3470.0,0.008
3480.0,0.01
3490.0,0.006
3500.0,0.006
3510.0,0.007
3520.0,0.013
3530.0,0.013
3540.0,0.006
3550.0,0.006
3560.0,0.016
3570.0,0.006
3580.0,0.012
3590.0,0.008
3600.0,0.015
3610.0,0.01
3620.0,0.006
3630.0,0.006
3640.0,0.006
3650.0,0.006
3660.0,0.009
3670.0,0.062
3680.0,0.03
3690.0,0.016
3700.0,0.024
3710.0,0.025
3720.0,0.02
3730.0,0.015
3740.0,0.022
3750.0,0.029
3760.0,0.026
3770.0,0.026
3780.0,0.017
3790.0,0.01
3800.0,0.017
3810.0,0.025
3820.0,0.028
3830.0,0.022
3840.0,0.025
3850.0,0.016
3860.0,0.023
3870.0,0.014
3880.0,0.019
3890.0,0.026
3900.0,0.014
3910.0,0.022
3920.0,0.022
3930.0,0.014
3940.0,0.02
3950.0,0.02
3960.0,0.02
3970.0,0.016
3980.0,0.011
3990.0,0.024
4000.0,0.023
4010.0,0.021
4020.0,0.012
4030.0,0.014
4040.0,0.023
4050.0,0.022
4060.0,0.018
4070.0,0.026
4080.0,0.021
4090.0,0.019
4100.0,0.019
4110.0,0.011
4120.0,0.021
4130.0,0.021
4140.0,0.018
4150.0,0.018
4160.0,0.019
4170.0,0.015
4180.0,0.018
4190.0,0.019
4200.0,0.015
4210.0,0.019
4220.0,0.019
4230.0,0.019
4240.0,0.021
4250.0,0.02
4260.0,0.017
4270.0,0.021
4280.0,0.016
4290.0,0.022
4300.0,0.021
4310.0,0.021
4320.0,0.015
4330.0,0.023
4340.0,0.019
4350.0,0.019
4360.0,0.019
4370.0,0.013
4380.0,0.019
4390.0,0.024
4400.0,0.021
4410.0,0.019
4420.0,0.018
4430.0,0.019
4440.0,0.014
4450.0,0.01
