Point in Time[s],State of Active Resource[]
0.0,0
3664.504,1
8175.5024375,0
8175.504,1
8176.5024375,0
8176.504,1
8177.5024375,0
8177.504,1
8178.5024375,0
8178.504,1
8179.50025,0
8179.504,1
8180.50025,0
8180.504,1
8181.50025,0
8181.504,1
8182.50025,0
8182.504,1
8183.50025,0
8183.504,1
8184.498375,0
8184.504,1
8185.498375,0
8185.504,1
8186.498375,0
8186.504,1
8187.498375,0
8187.504,1
8188.4961875,0
8188.504,1
8189.4961875,0
8189.504,1
8190.4961875,0
8190.504,1
8191.4961875,0
8191.504,1
8192.4961875,0
8192.504,1
8193.494,0
8193.504,1
8194.494,0
8194.504,1
8195.494,0
8195.504,1
8196.494,0
8196.504,1
8197.495875,0
8197.504,1
8198.495875,0
8198.504,1
8199.495875,0
8199.504,1
8200.495875,0
8200.504,1
8201.495875,0
8201.504,1
8202.4980625,0
8202.504,1
8203.4980625,0
8203.504,1
8204.4980625,0
8204.504,1
8205.4980625,0
8205.504,1
8206.4999375,0
8206.504,1
8207.4999375,0
8207.504,1
8208.4999375,0
8208.504,1
8209.4999375,0
8209.504,1
8210.4999375,0
8210.504,1
8211.502125,0
8211.504,1
8212.502125,0
8212.504,1
8213.502125,0
8213.504,1
8214.502125,0
8214.504,1
15575.50025,0
15575.504,1
15576.50025,0
15576.504,1
15577.50025,0
15577.504,1
15578.50025,0
15578.504,1
15579.4930625,0
15579.504,1
15580.4930625,0
15580.504,1
15581.4930625,0
15581.504,1
15582.4930625,0
15582.504,1
15583.4930625,0
15583.504,1
15584.485875,0
15584.504,1
15585.485875,0
15585.504,1
15586.485875,0
15586.504,1
15587.485875,0
15587.504,1
15588.4786875,0
15588.504,1
15589.4786875,0
15589.504,1
15590.4786875,0
15590.504,1
15591.4786875,0
15591.504,1
15592.4786875,0
15592.504,1
15593.4715,0
15593.504,1
15594.4715,0
15594.504,1
15595.4715,0
15595.504,1
15596.4715,0
15596.504,1
15597.4643125,0
15597.504,1
15598.4643125,0
15598.504,1
15599.4643125,0
15599.504,1
15600.4643125,0
15600.504,1
15601.4643125,0
15601.504,1
15602.457125,0
15602.504,1
15603.457125,0
15603.504,1
15604.457125,0
15604.504,1
15605.457125,0
15605.504,1
15606.4499375,0
15606.504,1
15607.4499375,0
15607.504,1
15608.4499375,0
15608.504,1
15609.4499375,0
15609.504,1
15610.4499375,0
15610.504,1
15611.44275,0
15611.504,1
15612.44275,0
15612.504,1
15613.44275,0
15613.504,1
15614.44275,0
15614.504,1
15615.4355625,0
15615.504,1
15616.4355625,0
15616.504,1
15617.4355625,0
15617.504,1
15618.4355625,0
15618.504,1
15619.4355625,0
15619.504,1
15620.428375,0
15620.504,1
15621.428375,0
15621.504,1
15622.428375,0
15622.504,1
15623.428375,0
15623.504,1
15624.4211875,0
15624.504,1
15625.4211875,0
15625.504,1
15626.4211875,0
15626.504,1
15627.4211875,0
15627.504,1
15628.4211875,0
15628.504,1
15629.414,0
15629.504,1
15630.414,0
15630.504,1
15631.414,0
15631.504,1
15632.414,0
15632.504,1
15633.4068125,0
15633.504,1
15634.4068125,0
15634.504,1
15635.4068125,0
15635.504,1
15636.4068125,0
15636.504,1
15637.4068125,0
15637.504,1
15638.399625,0
15638.504,1
15639.399625,0
15639.504,1
15640.399625,0
15640.504,1
15641.399625,0
15641.504,1
15642.3924375,0
15642.504,1
15643.3924375,0
15643.504,1
15644.3924375,0
15644.504,1
15645.3924375,0
15645.504,1
15646.3924375,0
15646.504,1
15647.3965,0
15647.504,1
15648.3965,0
15648.504,1
15649.3965,0
15649.504,1
15650.3965,0
15650.504,1
15651.4036875,0
15651.504,1
15652.4036875,0
15652.504,1
15653.4036875,0
15653.504,1
15654.4036875,0
15654.504,1
15655.4036875,0
15655.504,1
15656.4111875,0
