Point in Time[s],Utilization of Active Resource[]
5.415,0.0
15.414,0.0
25.417,0.0
35.415,0.0
49.425,0.03
55.417,0.0
65.416,0.0
75.417,0.0
85.429,0.0
95.416,0.0
109.645,0.03
115.423,0.0
125.415,0.0
135.417,0.0
145.42,0.0
155.418,0.0
169.426,0.02
175.418,0.0
185.42,0.0
195.421,0.0
205.419,0.0
215.419,0.0
229.7,0.03
235.426,0.0
245.419,0.0
255.419,0.0
265.418,0.0
275.419,0.0
289.426,0.02
295.418,0.0
305.416,0.0
315.419,0.0
325.416,0.0
335.416,0.0
349.65,0.03
355.42,0.0
365.42,0.0
375.421,0.0
385.418,0.0
395.419,0.0
409.426,0.02
415.419,0.0
425.42,0.0
435.421,0.0
445.418,0.0
455.421,0.0
469.7,0.02
475.43,0.0
485.42,0.0
495.432,0.0
505.42,0.0
515.43,0.0
529.425,0.02
535.421,0.0
545.42,0.0
555.433,0.0
565.424,0.0
575.435,0.0
589.698,0.02
595.432,0.0
605.424,0.0
615.433,0.0
625.424,0.0
635.445,0.0
649.428,0.02
655.426,0.0
665.422,0.0
675.435,0.0
685.424,0.0
695.437,0.0
709.661,0.03
715.433,0.0
725.425,0.0
735.439,0.0
745.431,0.0
755.443,0.0
769.434,0.02
775.425,0.0
785.424,0.0
795.434,0.0
805.427,0.0
815.44,0.0
829.697,0.03
835.432,0.0
845.425,0.0
855.436,0.0
865.426,0.0
875.438,0.0
889.436,0.02
895.426,0.0
905.427,0.0
915.438,0.0
925.428,0.0
935.44,0.0
949.657,0.03
955.432,0.0
965.424,0.0
975.435,0.0
985.428,0.0
995.44,0.0
1009.438,0.02
1015.424,0.0
1025.426,0.0
1035.437,0.0
1045.428,0.0
1055.441,0.0
1069.697,0.03
1075.43,0.0
1085.427,0.0
1095.438,0.0
1105.429,0.0
1115.439,0.0
1129.44,0.03
1135.43,0.0
1145.428,0.0
1155.439,0.0
1165.428,0.0
1175.44,0.0
1189.679,0.02
1195.441,0.0
1205.429,0.0
1215.442,0.0
1225.43,0.0
1235.443,0.0
1249.441,0.03
1255.431,0.0
1265.432,0.0
1275.443,0.0
1285.43,0.0
1295.442,0.0
1309.659,0.03
1315.44,0.0
1325.43,0.0
1335.441,0.0
1345.429,0.0
1355.441,0.0
1369.447,0.02
1375.43,0.0
1385.43,0.0
1395.441,0.0
1405.432,0.0
1415.444,0.0
1429.666,0.03
1435.438,0.0
1445.431,0.0
1455.441,0.0
1465.434,0.0
1475.451,0.0
1489.45,0.02
1495.433,0.0
1505.43,0.0
1515.441,0.0
1525.43,0.0
1535.442,0.0
1549.661,0.03
1555.444,0.0
1565.432,0.0
1575.443,0.0
1585.432,0.0
1595.442,0.0
1609.447,0.02
1615.434,0.0
1625.434,0.0
1635.446,0.0
1645.433,0.0
1655.445,0.0
1669.672,0.03
1675.444,0.0
1685.432,0.0
1695.441,0.0
1705.439,0.0
1715.455,0.0
1729.447,0.03
1735.468,0.0
1745.438,0.0
1755.483,0.0
1765.435,0.0
1775.497,0.0
1789.653,0.02
1795.512,0.0
1805.432,0.0
1815.534,0.0
1825.434,0.0
1835.549,0.0
1849.449,0.03
1855.562,0.0
1869.437,0.0
1875.579,0.0
1885.434,0.0
1895.593,0.0
1909.686,0.02
1915.607,0.0
1925.436,0.0
1935.629,0.0
1945.437,0.0
1955.643,0.0
1969.449,0.02
1975.658,0.0
1985.445,0.0
1995.672,0.0
2005.438,0.0
2015.685,0.0
2029.708,0.03
2035.699,0.0
2045.441,0.0
2055.722,0.0
2065.438,0.0
2075.737,0.0
2089.456,0.02
2095.75,0.0
2105.436,0.0
2115.763,0.0
2125.438,0.0
2135.778,0.0
2149.654,0.03
2155.792,0.0
2165.438,0.0
2175.815,0.0
2185.449,0.0
2195.827,0.0
2209.453,0.02
2215.843,0.0
2225.439,0.0
2235.856,0.0
2245.44,0.0
2255.87,0.0
2269.707,0.03
2275.45,0.0
2285.443,0.0
2295.909,0.0
2309.439,0.0
2315.922,0.0
2329.454,0.03
2335.937,0.0
2345.44,0.0
2355.951,0.0
2365.44,0.0
2375.965,0.0
2389.658,0.03
2395.983,0.0
2405.452,0.0
2416.003,0.0
2425.444,0.0
2436.017,0.0
2449.457,0.03
2456.03,0.0
2465.444,0.0
2476.049,0.0
2485.447,0.0
2496.059,0.0
2509.691,0.02
2516.073,0.0
2525.445,0.0
2536.094,0.0
2545.447,0.0
2556.108,0.0
2569.455,0.02
2576.122,0.0
2585.452,0.0
2596.137,0.0
2605.45,0.0
2616.152,0.0
2629.652,0.03
2636.166,0.0
2645.45,0.0
2656.19,0.0
2665.451,0.0
2676.202,0.0
2689.459,0.02
2696.218,0.0
2705.451,0.0
2716.231,0.0
2725.45,0.0
2736.246,0.0
2749.681,0.03
2756.261,0.0
2765.454,0.0
2776.282,0.0
2785.454,0.0
2796.298,0.0
2809.462,0.02
2816.311,0.0
2825.457,0.0
2836.327,0.0
2845.459,0.0
2856.339,0.0
2869.696,0.03
2876.355,0.0
2885.456,0.0
2896.377,0.0
2905.453,0.0
2916.393,0.0
2929.461,0.03
2936.409,0.0
2945.454,0.0
2956.427,0.0
2965.453,0.0
2976.437,0.0
2989.714,0.02
2996.451,0.0
3005.461,0.0
3016.474,0.0
3025.457,0.0
3036.488,0.0
3049.462,0.03
3056.5,0.0
3065.461,0.0
3076.522,0.0
3085.463,0.0
3096.529,0.0
3109.711,0.02
3116.543,0.0
3125.468,0.0
3136.565,0.0
3145.459,0.0
3156.58,0.0
3169.464,0.02
3176.594,0.0
3185.462,0.0
3196.61,0.0
3205.461,0.0
3216.623,0.0
3229.662,0.03
3236.637,0.0
3245.461,0.0
3256.659,0.0
3265.47,0.0
3276.674,0.0
3289.47,0.02
3296.687,0.0
3305.46,0.0
3316.702,0.0
3325.46,0.0
3336.715,0.0
3349.698,0.03
3356.734,0.0
3365.462,0.0
3376.754,0.0
3385.46,0.0
3396.766,0.0
3409.463,0.02
3416.781,0.0
3425.463,0.0
3436.794,0.0
3445.466,0.0
3456.81,0.0
3469.653,0.03
3476.823,0.0
3485.462,0.0
3496.846,0.0
3505.462,0.0
3516.859,0.0
3529.468,0.03
3536.874,0.0
3545.458,0.0
3556.888,0.0
3565.46,0.0
3576.901,0.0
3589.712,0.02
3596.914,0.0
