Point in Time[s],Power Consumption[W]
6.904,50.0
19.648,50.0
29.666,50.0
39.649,49.0
46.292,49.0
59.65,50.0
69.669,49.0
75.777,49.0
89.665,51.0
95.777,50.0
105.787,48.0
116.863,49.0
125.778,86.0
135.778,49.0
145.787,50.0
155.778,48.0
165.788,93.0
175.781,50.0
185.909,50.0
195.902,90.0
205.912,51.0
215.898,48.0
225.908,91.0
239.692,69.0
246.854,99.0
255.778,53.0
265.788,53.0
275.779,53.0
289.667,50.0
295.931,49.0
305.943,48.0
315.889,67.0
325.9,50.0
335.889,48.0
345.899,50.0
359.691,49.0
369.706,48.0
375.779,59.0
389.668,63.0
395.904,50.0
409.682,85.0
415.787,49.0
425.798,49.0
439.653,49.0
449.672,50.0
455.78,50.0
465.805,47.0
479.695,49.0
489.711,49.0
495.784,49.0
509.67,48.0
515.783,60.0
525.882,48.0
535.785,56.0
545.901,88.0
555.782,72.0
565.92,68.0
575.893,51.0
589.669,50.0
596.877,58.0
605.96,64.0
619.658,55.0
626.299,49.0
634.942,47.0
646.006,85.0
655.787,48.0
666.025,48.0
675.783,48.0
689.67,50.0
699.658,48.0
706.301,49.0
719.702,50.0
726.847,48.0
735.788,58.0
746.114,51.0
755.788,50.0
766.135,53.0
775.792,50.0
789.67,53.0
795.907,48.0
806.173,48.0
815.9,49.0
826.196,49.0
839.693,51.0
846.866,48.0
855.8,61.0
866.249,63.0
875.789,56.0
889.675,61.0
899.662,52.0
906.299,64.0
915.901,52.0
926.309,50.0
935.897,60.0
949.683,62.0
957.115,86.0
966.349,50.0
975.912,54.0
986.383,51.0
999.66,59.0
1006.406,48.0
1015.793,48.0
1026.425,86.0
1035.898,56.0
1049.669,50.0
1055.792,60.0
1066.465,50.0
1079.695,49.0
1086.862,48.0
1099.66,54.0
1106.517,86.0
1115.906,50.0
1126.541,50.0
1135.794,55.0
1146.558,65.0
1155.901,64.0
1169.67,49.0
1175.795,54.0
1186.599,88.0
1199.716,51.0
1209.73,49.0
1219.664,57.0
1226.651,50.0
1235.798,57.0
1249.675,74.0
1255.906,56.0
1266.692,50.0
1275.909,59.0
1286.71,88.0
1299.662,48.0
1306.732,50.0
1319.697,49.0
1326.866,51.0
1335.796,48.0
1346.785,85.0
1355.906,50.0
1366.808,49.0
1375.801,50.0
1386.825,48.0
1395.923,47.0
1406.846,49.0
1415.803,49.0
1426.865,47.0
1439.707,66.0
1446.898,50.0
1455.799,49.0
1466.936,50.0
1475.798,63.0
1486.96,53.0
1499.669,85.0
1506.978,49.0
1515.802,60.0
1526.996,85.0
1535.797,51.0
1547.02,63.0
1557.055,51.0
1567.037,60.0
1575.806,64.0
1587.073,54.0
1599.671,53.0
1607.093,70.0
1615.804,54.0
1627.112,51.0
1635.803,54.0
1647.136,47.0
1655.803,48.0
1667.152,48.0
1677.177,68.0
1687.175,48.0
1699.671,48.0
1707.202,49.0
1719.67,51.0
1727.225,60.0
1739.673,50.0
1747.247,50.0
1759.677,52.0
1767.271,50.0
1779.671,62.0
1787.291,50.0
1797.308,51.0
1807.309,50.0
1819.675,58.0
1827.346,49.0
1839.672,89.0
1847.363,59.0
1859.674,61.0
1867.382,66.0
1875.806,48.0
1887.399,51.0
1899.674,53.0
1907.427,48.0
1917.443,56.0
1927.441,48.0
1935.808,48.0
1947.478,47.0
1955.807,49.0
1967.505,48.0
1975.808,55.0
1987.524,48.0
1995.808,49.0
2007.547,48.0
2015.93,49.0
2027.565,48.0
2037.592,51.0
2047.583,49.0
2055.809,50.0
2067.619,50.0
2075.81,48.0
2087.644,91.0
2099.678,49.0
2107.662,60.0
2115.81,48.0
2127.681,50.0
2135.807,67.0
2147.702,49.0
2157.739,59.0
2167.721,48.0
2179.683,66.0
2187.754,53.0
2199.675,55.0
2207.778,52.0
2215.815,55.0
2227.873,48.0
2235.812,52.0
2247.891,48.0
2259.676,54.0
2267.913,48.0
2277.948,84.0
2287.931,50.0
2299.68,50.0
2307.965,48.0
2315.818,49.0
2327.988,48.0
2335.816,48.0
2348.007,48.0
2355.814,48.0
2368.024,49.0
2375.812,50.0
2388.047,54.0
2398.08,48.0
2408.065,47.0
2415.818,48.0
2428.098,60.0
2435.925,49.0
2448.121,48.0
2455.815,49.0
2468.139,59.0
2475.816,50.0
2488.158,49.0
2499.68,69.0
2508.181,77.0
2518.214,64.0
2528.198,48.0
2535.813,67.0
2548.233,47.0
2555.814,59.0
2568.259,48.0
2575.925,59.0
2588.273,55.0
2594.977,49.0
2608.297,55.0
2615.942,48.0
2628.318,85.0
2638.347,48.0
2648.333,49.0
2659.683,57.0
2668.369,49.0
2675.815,47.0
2688.395,51.0
2699.684,49.0
2708.41,47.0
2719.685,50.0
2728.428,53.0
2739.684,50.0
2748.445,61.0
2758.477,51.0
2768.468,48.0
2779.685,51.0
2788.705,76.0
2799.686,73.0
2808.722,77.0
2819.69,67.0
2828.747,53.0
2839.687,53.0
2848.762,47.0
2859.685,55.0
2868.786,50.0
2878.816,85.0
2888.805,55.0
2899.688,90.0
2908.834,48.0
2915.934,49.0
2928.852,49.0
2939.69,49.0
2948.877,56.0
2959.729,51.0
2968.895,50.0
2979.688,49.0
2988.916,49.0
2998.948,92.0
3008.929,50.0
3015.935,50.0
3028.961,67.0
3035.816,52.0
3048.983,48.0
3055.819,48.0
3069.002,49.0
3075.814,56.0
3089.024,79.0
3099.687,54.0
3109.054,59.0
3119.081,66.0
3129.069,57.0
3139.69,59.0
3149.1,49.0
3155.819,51.0
3169.122,61.0
3179.69,69.0
3189.146,52.0
3199.689,50.0
3209.164,49.0
3215.961,51.0
3229.184,51.0
3239.21,91.0
3249.206,52.0
3259.689,93.0
3269.237,51.0
3275.929,55.0
3289.257,57.0
3295.941,56.0
3309.276,51.0
3315.822,53.0
3329.29,52.0
3335.821,64.0
3349.318,61.0
3359.35,48.0
3369.33,50.0
3379.691,50.0
3389.364,51.0
3399.69,51.0
3409.39,58.0
3415.825,48.0
3429.405,49.0
3435.822,72.0
3449.422,66.0
3455.823,52.0
3469.445,51.0
3479.702,56.0
3489.466,61.0
3495.959,55.0
3509.498,56.0
3515.947,68.0
3529.518,56.0
3535.821,53.0
3549.536,50.0
3555.824,51.0
3569.556,50.0
3575.934,48.0
3589.583,49.0
3596.867,48.0
3609.606,86.0
3615.83,49.0
3629.635,66.0
3635.82,50.0
3649.658,65.0
3655.824,49.0
3669.677,50.0
3675.935,51.0
3689.69,50.0
3695.837,53.0
3709.695,48.0
3719.72,55.0
3729.696,49.0
3739.695,49.0
3749.697,72.0
3755.827,67.0
3769.693,54.0
3775.822,56.0
3789.689,48.0
3799.694,56.0
3809.694,82.0
3819.695,61.0
3829.719,49.0
3836.857,85.0
3849.701,51.0
3859.697,51.0
3869.699,67.0
3879.697,68.0
3889.696,56.0
3895.946,86.0
3909.692,53.0
3915.832,48.0
3929.693,58.0
3934.973,50.0
3949.698,48.0
3956.862,51.0
3969.704,52.0
3979.7,49.0
3989.737,50.0
3999.699,48.0
4009.7,49.0
4015.844,50.0
4029.702,50.0
4035.825,93.0
4049.695,49.0
4059.7,53.0
4069.696,49.0
4079.726,48.0
4089.703,67.0
4099.702,53.0
4109.7,49.0
4119.701,56.0
4129.698,48.0
4135.823,53.0
4144.979,50.0
4155.941,61.0
4169.698,56.0
4175.822,54.0
4189.698,54.0
4199.731,85.0
4209.705,64.0
4215.95,49.0
4229.698,51.0
4235.826,67.0
4249.697,54.0
4255.831,87.0
4269.702,61.0
4275.828,51.0
4289.697,49.0
4295.828,52.0
4309.699,49.0
4319.73,51.0
4329.7,51.0
4335.828,87.0
4349.7,86.0
4355.827,49.0
4369.704,85.0
4375.826,88.0
4389.702,93.0
4395.828,86.0
4409.703,85.0
4415.951,85.0
4429.714,58.0
4439.751,49.0
4449.709,52.0
4454.981,53.0
4469.701,67.0
4475.837,68.0
4489.7,57.0
4495.829,51.0
4509.705,49.0
4515.941,56.0
4524.987,56.0
4535.828,73.0
4545.83,54.0
4559.73,85.0
4565.832,87.0
4579.71,52.0
4589.703,57.0
4595.834,85.0
4609.706,50.0
4615.947,51.0
4625.832,50.0
4635.83,49.0
4645.833,49.0
4655.832,51.0
4665.832,50.0
4679.737,66.0
4685.834,54.0
4695.832,53.0
4709.707,57.0
4715.944,87.0
4725.941,66.0
4735.83,64.0
4745.835,82.0
4755.838,96.0
4765.829,89.0
4775.834,52.0
4785.835,53.0
4799.758,59.0
4809.707,87.0
4815.833,89.0
4825.945,66.0
4835.834,49.0
4845.831,50.0
4855.846,54.0
4865.949,50.0
4875.947,56.0
4889.709,67.0
4895.94,49.0
4909.708,51.0
4919.734,49.0
4929.714,49.0
4939.711,50.0
4949.709,51.0
4959.71,75.0
4969.709,69.0
4975.947,69.0
4985.946,68.0
4999.708,69.0
5009.708,92.0
5015.945,95.0
5029.71,98.0
5036.882,97.0
5045.832,51.0
5059.711,52.0
5069.712,86.0
5079.716,63.0
5089.713,53.0
5099.714,91.0
5109.713,68.0
5119.712,51.0
5125.957,85.0
5139.714,50.0
5149.715,66.0
5156.944,70.0
5169.716,88.0
5179.717,88.0
5189.713,87.0
5195.95,87.0
5205.947,86.0
5219.717,89.0
5225.837,62.0
5239.714,87.0
5249.715,86.0
5259.715,90.0
5269.717,85.0
5276.864,98.0
5289.715,97.0
5299.716,100.0
5309.716,95.0
5319.716,106.0
5329.72,94.0
5339.72,93.0
5349.781,97.0
5359.719,95.0
5369.718,101.0
5379.716,102.0
5389.721,64.0
5396.855,74.0
5405.954,89.0
5419.721,69.0
5425.875,56.0
5435.954,59.0
5449.718,55.0
5455.84,53.0
5469.719,49.0
5479.721,70.0
5489.717,85.0
5495.963,55.0
5505.848,67.0
5516.855,62.0
5525.962,87.0
5539.723,55.0
5549.724,88.0
5559.725,71.0
5569.724,69.0
5575.956,72.0
5589.723,65.0
5595.836,88.0
5609.723,95.0
5615.838,95.0
5629.723,66.0
5636.848,49.0
5649.726,87.0
5659.723,50.0
5665.837,86.0
5679.725,53.0
5684.99,60.0
5695.841,88.0
5709.723,51.0
5719.724,87.0
5725.964,68.0
5739.725,88.0
5745.844,85.0
5756.848,68.0
5769.73,55.0
5779.722,89.0
5789.725,87.0
5795.842,87.0
5805.84,67.0
5819.728,55.0
5825.976,53.0
5835.84,57.0
5845.842,51.0
5855.949,63.0
5869.727,83.0
5879.754,51.0
5889.726,66.0
5899.727,58.0
5909.725,88.0
5915.962,72.0
5929.725,91.0
5935.843,97.0
5949.726,50.0
5955.842,95.0
5965.841,93.0
5975.843,95.0
5989.735,95.0
5996.898,85.0
6005.866,93.0
6015.978,83.0
6025.999,53.0
6035.851,64.0
6045.845,68.0
6055.848,89.0
6065.844,87.0
6075.844,62.0
6085.953,73.0
6095.845,85.0
6105.846,68.0
6116.879,72.0
6125.848,57.0
6135.845,49.0
6145.845,69.0
6155.845,49.0
6165.846,53.0
6175.845,57.0
6185.957,67.0
6195.853,89.0
6205.846,49.0
6219.729,96.0
6225.844,95.0
6239.753,52.0
6245.955,86.0
6255.845,50.0
6265.845,86.0
6275.845,51.0
6285.845,49.0
6295.844,66.0
6305.844,85.0
6315.859,49.0
6325.85,48.0
6335.957,87.0
6345.847,53.0
6356.862,85.0
