Point in Time[s],Utilization of Active Resource[]
4.692,0.0
14.638,0.0
24.655,0.0
34.636,0.0
44.656,0.0
54.639,0.0
64.657,0.0
74.638,0.0
84.652,0.0
94.639,0.0
104.653,0.0
114.682,0.0
124.643,0.0
134.64,0.0
144.654,0.0
154.64,0.0
164.657,0.0
174.644,0.0
184.659,0.0
194.64,0.0
204.655,0.0
214.64,0.0
224.655,0.0
234.684,0.0
244.699,0.0
254.641,0.0
264.656,0.0
274.64,0.0
284.655,0.0
294.644,0.0
304.659,0.0
314.641,0.0
324.656,0.0
334.642,0.0
344.658,0.0
354.685,0.0
364.698,0.0
374.643,0.0
384.658,0.0
394.654,0.0
404.67,0.0
414.643,0.0
424.656,0.0
434.642,0.0
444.66,0.0
454.644,0.0
464.658,0.0
474.688,0.0
484.703,0.0
494.643,0.0
504.657,0.0
514.644,0.0
524.661,0.0
534.646,0.0
544.66,0.0
554.643,0.0
564.66,0.0
574.643,0.0
584.657,0.0
594.688,0.0
604.646,0.0
614.645,0.0
624.665,0.0
634.645,0.0
644.661,0.0
654.646,0.0
664.662,0.0
674.645,0.0
684.659,0.0
694.646,0.0
704.664,0.0
714.696,0.0
724.709,0.0
734.647,0.0
744.668,0.0
754.645,0.0
764.7,0.0
774.646,0.0
784.659,0.0
794.645,0.0
804.66,0.0
814.645,0.0
824.66,0.0
834.686,0.0
844.701,0.0
854.647,0.0
864.661,0.0
874.648,0.0
884.662,0.0
894.65,0.0
904.669,0.0
914.646,0.0
924.661,0.0
934.654,0.0
944.67,0.0
954.704,0.0
964.65,0.0
974.669,0.0
984.685,0.0
994.649,0.0
1004.667,0.0
1014.649,0.0
1024.663,0.0
1034.647,0.0
1044.662,0.0
1054.648,0.0
1064.662,0.0
1074.687,0.0
1084.703,0.0
1094.649,0.0
1104.667,0.0
1114.65,0.0
1124.663,0.0
1134.652,0.0
1144.668,0.0
1154.649,0.0
1164.662,0.0
1174.65,0.0
1184.666,0.0
1194.708,0.0
1204.723,0.0
1214.652,0.0
1224.671,0.0
1234.65,0.0
1244.666,0.0
1254.652,0.0
1264.668,0.0
1274.651,0.0
1284.666,0.0
1294.65,0.0
1304.668,0.0
1314.691,0.0
1324.705,0.0
1334.653,0.0
1344.67,0.0
1354.653,0.0
1364.668,0.0
1374.655,0.0
1384.67,0.0
1394.654,0.0
1404.668,0.0
1414.654,0.0
1424.669,0.0
1434.699,0.0
1444.714,0.0
1454.66,0.0
1464.676,0.0
1474.657,0.0
1484.675,0.0
1494.659,0.0
1504.676,0.0
1514.657,0.0
1524.673,0.0
1534.657,0.0
1544.673,0.0
1554.697,0.0
1564.659,0.0
1574.662,0.0
1584.677,0.0
1594.66,0.0
1604.678,0.0
1614.659,0.0
1624.675,0.0
1634.658,0.0
1644.674,0.0
1654.658,0.0
1664.675,0.0
1674.703,0.0
1684.659,0.0
1694.66,0.0
1704.678,0.0
1714.659,0.0
1724.677,0.0
1734.661,0.0
1744.68,0.0
1754.664,0.0
1764.683,0.0
1774.66,0.0
1784.679,0.0
1794.699,0.0
1804.662,0.0
1814.662,0.0
1824.683,0.0
1834.66,0.0
1844.678,0.0
1854.663,0.0
1864.68,0.0
1874.661,0.0
1884.676,0.0
1894.661,0.0
1904.681,0.0
1914.73,0.0
1924.664,0.0
1934.667,0.0
1944.68,0.0
1954.662,0.0
1964.676,0.0
1974.664,0.0
1984.678,0.0
1994.664,0.0
2004.678,0.0
2014.663,0.0
2024.677,0.0
2034.7,0.0
2044.665,0.0
2054.665,0.0
2064.68,0.0
2074.665,0.0
2084.679,0.0
2094.665,0.0
2104.683,0.0
2114.663,0.0
2124.703,0.0
2134.663,0.0
2144.676,0.0
2154.69,0.0
2164.665,0.0
2174.668,0.0
2184.691,0.0
2194.664,0.0
2204.682,0.0
2214.666,0.0
2224.681,0.0
2234.69,0.0
2244.707,0.0
2254.665,0.0
2264.682,0.0
2274.696,0.0
2284.667,0.0
2294.668,0.0
2304.687,0.0
2314.668,0.0
2324.699,0.0
2334.669,0.0
2344.683,0.0
2354.668,0.0
2364.684,0.0
2374.668,0.0
2384.687,0.0
2394.702,0.0
2404.669,0.0
2414.669,0.0
2424.685,0.0
2434.669,0.0
2444.683,0.0
2454.67,0.0
2464.686,0.0
2474.668,0.0
2484.684,0.0
2494.668,0.0
2504.688,0.0
2514.714,0.0
2524.671,0.0
2534.672,0.0
2544.689,0.0
2554.669,0.0
2564.685,0.0
2574.671,0.0
2584.686,0.0
2594.67,0.0
2604.683,0.0
2614.669,0.0
2624.683,0.0
2634.698,0.0
2644.671,0.0
2654.671,0.0
2664.69,0.0
2674.671,0.0
2684.687,0.0
2694.672,0.0
2704.69,0.0
2714.672,0.0
2724.692,0.0
2734.672,0.0
2744.691,0.0
2754.705,0.0
2764.694,0.0
2774.674,0.0
2784.692,0.0
2794.673,0.0
2804.693,0.0
2814.677,0.0
2824.697,0.0
2834.675,0.0
2844.693,0.0
2854.675,0.0
2864.691,0.0
2874.72,0.0
2884.678,0.0
2894.676,0.0
2904.695,0.0
2914.676,0.0
2924.692,0.0
2934.678,0.0
2944.696,0.0
2954.716,0.0
2964.736,0.0
2974.676,0.0
2984.698,0.0
2994.736,0.0
3004.676,0.0
3014.677,0.0
3024.692,0.0
3034.677,0.0
3044.691,0.0
3054.677,0.0
3064.693,0.0
3074.681,0.0
3084.699,0.0
3094.675,0.0
3104.695,0.0
3114.733,0.0
3124.677,0.0
3134.677,0.0
3144.697,0.0
3154.676,0.0
3164.69,0.0
3174.679,0.0
3184.697,0.0
3194.676,0.0
3204.696,0.0
3214.679,0.0
3224.692,0.0
3234.706,0.0
3244.68,0.0
3254.678,0.0
3264.696,0.0
3274.68,0.0
3284.695,0.0
3294.682,0.0
3304.696,0.0
3314.678,0.0
3324.699,0.0
3334.679,0.0
3344.693,0.0
3354.721,0.0
3364.681,0.0
3374.679,0.0
3384.697,0.0
3394.679,0.0
3404.695,0.0
3414.682,0.0
3424.697,0.0
3434.68,0.0
3444.695,0.0
3454.68,0.0
3464.693,0.0
3474.691,0.0
3484.712,0.0
3494.684,0.0
3504.699,0.0
3514.68,0.0
3524.695,0.0
3534.681,0.0
3544.695,0.0
3554.68,0.0
3564.695,0.0
3574.68,0.0
3584.698,0.0
3594.691,0.0
3604.685,0.0
3614.682,0.0
3624.696,0.0
3634.681,0.0
3644.696,0.0
3654.683,0.0
3664.697,0.0
3674.681,0.0
3684.682,0.0
3694.682,0.0
3704.683,0.0
3714.713,0.0
3724.684,0.0
3734.684,0.0
3744.683,0.0
3754.684,0.0
3764.682,0.0
3774.686,0.0
3784.682,0.0
3794.682,0.0
3804.683,0.0
3814.682,0.0
3824.684,0.0
3834.737,0.0
3844.688,0.0
3854.685,0.0
3864.685,0.0
3874.685,0.0
3884.684,0.0
3894.688,0.0
3904.685,0.0
3914.685,0.0
3924.685,0.0
3934.685,0.0
3944.686,0.0
3954.718,0.0
3964.688,0.0
3974.688,0.0
3984.686,0.0
3994.687,0.0
4004.688,0.0
4014.691,0.0
4024.688,0.0
4034.687,0.0
4044.688,0.0
4054.688,0.0
4064.689,0.0
4074.719,0.0
4084.693,0.0
4094.689,0.0
4104.688,0.0
4114.689,0.0
4124.689,0.0
4134.694,0.0
4144.691,0.0
4154.691,0.0
4164.691,0.0
4174.69,0.0
4184.691,0.0
4194.723,0.0
4204.692,0.0
4214.692,0.0
4224.691,0.0
4234.691,0.0
4244.69,0.0
4254.692,0.0
4264.691,0.0
4274.692,0.0
4284.69,0.0
4294.69,0.0
4304.692,0.0
4314.723,0.0
4324.693,0.0
4334.693,0.0
4344.694,0.0
4354.692,0.0
4364.692,0.0
4374.696,0.0
4384.694,0.0
4394.693,0.0
4404.692,0.0
4414.691,0.0
4424.693,0.0
4434.739,0.0
4444.699,0.0
4454.694,0.0
4464.693,0.0
4474.693,0.0
4484.693,0.0
4494.695,0.0
4504.693,0.0
4514.693,0.0
4524.694,0.0
4534.693,0.0
4544.693,0.0
4554.722,0.0
4564.694,0.0
4574.698,0.0
4584.694,0.0
4594.693,0.0
4604.695,0.0
4614.697,0.0
4624.695,0.0
4634.693,0.0
4644.693,0.0
4654.694,0.0
4664.696,0.0
4674.729,0.0
4684.698,0.0
4694.709,0.0
4704.695,0.0
4714.693,0.0
4724.693,0.0
4734.698,0.0
4744.694,0.0
4754.695,0.0
4764.692,0.0
4774.694,0.0
4784.695,0.0
4794.75,0.0
4804.695,0.0
4814.695,0.0
4824.696,0.0
4834.695,0.0
4844.695,0.0
4854.699,0.0
4864.696,0.0
4874.694,0.0
4884.696,0.0
4894.696,0.0
4904.697,0.0
4914.727,0.0
4924.699,0.0
4934.699,0.0
4944.698,0.0
4954.698,0.0
4964.698,0.0
4974.701,0.0
4984.698,0.0
4994.698,0.0
5004.697,0.0
5014.7,0.0
5024.7,0.0
5034.728,0.0
5044.702,0.0
5054.699,0.0
5064.699,0.0
5074.701,0.0
5084.7,0.0
5094.702,0.0
5104.699,0.0
5114.699,0.0
5124.7,0.0
5134.701,0.0
5144.703,0.0
5154.734,0.0
5164.704,0.0
5174.705,0.0
5184.702,0.0
5194.703,0.0
5204.702,0.0
5214.706,0.0
5224.704,0.0
5234.703,0.0
5244.704,0.0
5254.703,0.0
5264.706,0.0
5274.735,0.0
5284.704,0.0
5294.704,0.0
5304.705,0.0
5314.704,0.0
5324.709,0.0
5334.708,0.0
5344.768,0.0
5354.706,0.0
5364.706,0.0
5374.706,0.0
5384.707,0.0
5394.74,0.0
5404.708,0.0
5414.708,0.0
5424.707,0.0
5434.707,0.0
5444.705,0.0
5454.71,0.0
5464.707,0.0
5474.708,0.0
5484.706,0.0
5494.708,0.0
5504.709,0.0
5514.755,0.0
5524.71,0.0
5534.71,0.0
5544.711,0.0
5554.712,0.0
5564.712,0.0
5574.716,0.0
5584.712,0.0
5594.711,0.0
5604.711,0.0
5614.712,0.0
5624.712,0.0
5634.743,0.0
5644.712,0.0
5654.711,0.0
5664.712,0.0
5674.713,0.0
5684.712,0.0
5694.716,0.0
5704.711,0.0
5714.712,0.0
5724.715,0.0
5734.712,0.0
5744.712,0.0
5754.742,0.0
5764.718,0.0
5774.712,0.0
5784.713,0.0
5794.713,0.0
5804.712,0.0
5814.716,0.0
5824.714,0.0
5834.714,0.0
5844.713,0.0
5854.714,0.0
5864.715,0.0
5874.746,0.0
5884.715,0.0
5894.715,0.0
5904.714,0.0
5914.713,0.0
5924.712,0.0
5934.716,0.0
5944.714,0.0
