Point in Time[s],Power Consumption[W]
4.748,101.0
15.217,115.0
24.939,81.0
34.71,86.0
44.706,84.0
54.71,101.0
64.734,81.0
74.705,82.0
84.712,84.0
94.707,100.0
104.705,90.0
114.704,85.0
124.735,129.0
135.463,110.0
144.88,88.0
154.706,89.0
164.705,84.0
174.708,111.0
184.732,103.0
194.705,90.0
204.707,123.0
214.704,165.0
224.704,163.0
234.727,154.0
244.788,92.0
255.316,105.0
264.935,155.0
274.705,102.0
284.705,102.0
294.706,86.0
304.73,82.0
314.707,85.0
324.706,83.0
334.713,83.0
344.707,94.0
354.708,85.0
364.732,128.0
375.259,116.0
385.041,96.0
394.708,82.0
404.713,106.0
414.712,84.0
424.739,101.0
434.712,97.0
444.715,122.0
454.708,85.0
464.713,84.0
474.728,89.0
484.761,106.0
495.276,83.0
504.975,157.0
514.712,101.0
524.711,150.0
534.71,89.0
544.735,135.0
554.711,112.0
564.711,162.0
574.712,159.0
584.713,129.0
594.729,127.0
604.755,120.0
615.405,115.0
624.832,83.0
634.712,88.0
644.713,83.0
654.712,92.0
664.739,83.0
674.712,83.0
684.713,83.0
694.714,81.0
704.715,86.0
714.713,81.0
724.737,88.0
735.371,109.0
744.96,82.0
754.715,84.0
764.717,91.0
774.717,83.0
784.742,89.0
794.724,86.0
804.717,86.0
814.719,86.0
824.72,85.0
834.721,88.0
844.745,153.0
855.454,94.0
864.974,88.0
874.717,99.0
884.717,101.0
894.718,133.0
904.741,165.0
914.718,127.0
924.719,133.0
934.721,160.0
944.727,150.0
954.719,83.0
964.743,127.0
975.419,107.0
984.967,83.0
994.719,82.0
1004.723,92.0
1014.72,83.0
1024.744,83.0
1034.721,101.0
1044.726,84.0
1054.724,95.0
1064.721,82.0
1074.733,82.0
1084.762,132.0
1095.349,135.0
1104.966,83.0
1114.72,85.0
1124.721,85.0
1134.727,92.0
1144.756,106.0
1154.721,89.0
1164.719,94.0
1174.72,91.0
1184.723,88.0
1194.723,91.0
1204.759,102.0
1215.328,99.0
1224.995,127.0
1234.723,141.0
1244.728,139.0
1254.722,125.0
1264.752,171.0
1274.723,169.0
1284.723,84.0
1294.724,100.0
1304.722,85.0
1314.724,82.0
1324.749,113.0
1335.35,98.0
1344.974,93.0
1354.729,88.0
1364.723,92.0
1374.725,82.0
1384.742,101.0
1394.729,122.0
1404.725,84.0
1414.725,83.0
1424.726,81.0
1434.728,80.0
1444.752,101.0
1455.517,89.0
1465.053,88.0
1474.725,81.0
1484.724,94.0
1494.726,88.0
1504.749,89.0
1514.724,84.0
1524.726,85.0
1534.725,91.0
1544.725,99.0
1554.725,105.0
1564.754,83.0
1575.363,99.0
1584.98,124.0
1594.726,164.0
1604.724,156.0
1614.725,88.0
1624.751,83.0
1634.726,84.0
1644.727,85.0
1654.729,97.0
1664.724,89.0
1674.726,82.0
1684.809,92.0
1695.421,104.0
1704.97,130.0
1714.728,101.0
1724.726,83.0
1734.727,81.0
1744.751,101.0
1754.733,81.0
1764.726,82.0
1774.729,100.0
1784.728,82.0
1794.728,82.0
1804.753,129.0
1815.215,135.0
1824.729,139.0
1834.728,141.0
1844.729,93.0
1854.729,102.0
1864.752,87.0
1874.732,86.0
1884.733,99.0
1894.729,97.0
1904.729,109.0
1914.746,130.0
1924.786,97.0
1935.455,96.0
1945.09,117.0
1954.731,81.0
1964.731,84.0
1974.732,121.0
1984.758,86.0
1994.731,86.0
2004.733,86.0
2014.735,89.0
2024.734,92.0
2034.74,83.0
2044.776,109.0
2055.366,118.0
2064.983,83.0
2074.732,86.0
2084.734,83.0
2094.736,103.0
2104.76,103.0
2114.735,94.0
2124.734,89.0
2134.735,83.0
2144.734,90.0
2154.738,87.0
2164.762,98.0
2175.407,92.0
2185.077,89.0
2194.735,84.0
2204.735,121.0
2214.735,141.0
2224.759,85.0
2234.736,92.0
2244.736,112.0
2254.734,112.0
2264.739,112.0
2274.737,96.0
2284.761,101.0
2295.489,122.0
2304.946,84.0
2314.736,88.0
2324.74,91.0
2334.737,87.0
2344.763,84.0
2354.737,86.0
2364.739,96.0
2374.738,121.0
2384.74,84.0
2394.739,84.0
2404.765,102.0
2415.53,99.0
2424.988,84.0
2434.74,82.0
2444.746,86.0
2454.739,84.0
2464.763,85.0
2474.739,81.0
2484.737,86.0
2494.739,85.0
2504.738,90.0
2514.741,85.0
2524.782,108.0
2535.348,139.0
2545.029,85.0
2554.739,90.0
2564.741,104.0
2574.74,131.0
2584.768,104.0
2594.739,163.0
2604.74,98.0
2614.74,153.0
2624.739,132.0
2634.739,94.0
2644.765,102.0
2655.376,105.0
2665.018,83.0
2674.741,98.0
2684.741,90.0
2694.743,82.0
2704.768,101.0
2714.746,87.0
2724.746,87.0
2734.744,83.0
2744.743,83.0
2754.742,81.0
2764.775,108.0
2775.457,141.0
2785.041,83.0
2794.742,83.0
2804.745,92.0
2814.743,84.0
2824.768,86.0
2834.743,84.0
2844.741,84.0
2854.743,87.0
2864.741,86.0
2874.741,83.0
2884.768,89.0
2895.394,84.0
2905.112,83.0
2914.745,107.0
2924.742,100.0
2934.744,151.0
2944.774,156.0
2954.744,163.0
2964.748,162.0
2974.754,96.0
2984.747,89.0
2994.748,84.0
3004.772,105.0
3015.309,103.0
3024.99,130.0
3034.744,85.0
3044.746,86.0
3054.746,102.0
3064.775,86.0
3074.747,90.0
3084.749,86.0
3094.747,81.0
3104.746,96.0
3114.744,86.0
3124.77,121.0
3135.383,86.0
3144.995,82.0
3154.747,120.0
3164.77,83.0
3174.748,84.0
3184.776,91.0
3194.749,85.0
3204.772,90.0
3214.748,99.0
3224.77,149.0
