Point in Time[s],State of Active Resource[]
0.0,0
37217.0,1
37217.0,0
37218.0,1
37218.0,0
37219.0,1
37219.0,0
37220.0,1
37220.0,0
37221.0,1
37221.0,0
37222.0,1
37222.0,0
37223.0,1
37223.0,0
37224.0,1
37224.0,0
37225.0,1
37225.0,0
37226.0,1
37226.0,0
37227.0,1
37227.0,0
37228.0,1
37228.0,0
37229.0,1
37229.0,0
37230.0,1
37230.0,0
37231.0,1
37231.0,0
37232.0,1
37232.0,0
37233.0,1
37233.0,0
37234.0,1
37234.0,0
37235.0,1
37235.0,0
37236.0,1
37236.0,0
37237.0,1
37237.0,0
37238.0,1
37238.0,0
37239.0,1
37239.0,0
37240.0,1
37240.0,0
37241.0,1
37241.0,0
37242.0,1
37242.0,0
37243.0,1
37243.0,0
37244.0,1
37244.0,0
37245.0,1
37245.0,0
37246.0,1
37246.0,0
37247.0,1
37247.0,0
37248.0,1
37248.0,0
37249.0,1
37249.0,0
37250.0,1
37250.0,0
37251.0,1
37251.0,0
37252.0,1
37252.0,0
37253.0,1
37253.0,0
37254.0,1
37254.0,0
37255.0,1
37255.0,0
37256.0,1
37256.0,0
37257.0,1
37257.0,0
37258.0,1
37258.0,0
37259.0,1
37259.0,0
37260.0,1
37260.0,0
37261.0,1
37261.0,0
37262.0,1
37262.0,0
37263.0,1
37263.0,0
37264.0,1
37264.0,0
37265.0,1
37265.0,0
37266.0,1
37266.0,0
37267.0,1
37267.0,0
37268.0,1
37268.0,0
37269.0,1
37269.0,0
37270.0,1
37270.0,0
37271.0,1
37271.0,0
37272.0,1
37272.0,0
37273.0,1
37273.0,0
37274.0,1
37274.0,0
37275.0,1
37275.0,0
37276.0,1
37276.0,0
37277.0,1
37277.0,0
37278.0,1
37278.0,0
37279.0,1
37279.0,0
37280.0,1
37280.0,0
37281.0,1
37281.0,0
37282.0,1
37282.0,0
37283.0,1
37283.0,0
37284.0,1
37284.0,0
37285.0,1
37285.0,0
37286.0,1
37286.0,0
37287.0,1
37287.0,0
37288.0,1
37288.0,0
37289.0,1
37289.0,0
37290.0,1
37290.0,0
37291.0,1
37291.0,0
37292.0,1
37292.0,0
37293.0,1
37293.0,0
37294.0,1
37294.0,0
37295.0,1
37295.0,0
37296.0,1
37296.0,0
37297.0,1
37297.0,0
37298.0,1
37298.0,0
37299.0,1
37299.0,0
37300.0,1
37300.0,0
37301.0,1
37301.0,0
37302.0,1
37302.0,0
37303.0,1
37303.0,0
37304.0,1
37304.0,0
37305.0,1
37305.0,0
37306.0,1
37306.0,0
37307.0,1
37307.0,0
37308.0,1
37308.0,0
37309.0,1
37309.0,0
37310.0,1
37310.0,0
37311.0,1
37311.0,0
37312.0,1
37312.0,0
37313.0,1
37313.0,0
37314.0,1
37314.0,0
37315.0,1
37315.0,0
37316.0,1
37316.0,0
37317.0,1
37317.0,0
37318.0,1
37318.0,0
37319.0,1
37319.0,0
37320.0,1
37320.0,0
37321.0,1
37321.0,0
37322.0,1
37322.0,0
37323.0,1
37323.0,0
37324.0,1
37324.0,0
37325.0,1
37325.0,0
37326.0,1
37326.0,0
37327.0,1
37327.0,0
37328.0,1
37328.0,0
37329.0,1
37329.0,0
37330.0,1
37330.0,0
37331.0,1
37331.0,0
37332.0,1
37332.0,0
37333.0,1
37333.0,0
37334.0,1
37334.0,0
37335.0,1
37335.0,0
37336.0,1
37336.0,0
37337.0,1
37337.0,0
37338.0,1
37338.0,0
37339.0,1
37339.0,0
37340.0,1
37340.0,0
37341.0,1
37341.0,0
37342.0,1
37342.0,0
37343.0,1
37343.0,0
37344.0,1
37344.0,0
37345.0,1
37345.0,0
37346.0,1
37346.0,0
37347.0,1
37347.0,0
37348.0,1
37348.0,0
37349.0,1
37349.0,0
37350.0,1
37350.0,0
