Point in Time[s],State of Active Resource[]
0.0,0
3664.504,1
3664.504,0
34189.792999999,1
34189.792999999,0
34214.91,1
34214.91,0
34250.088,1
34250.088,0
34260.000000001,1
34260.000000001,0
34260.90909091,1
34260.90909091,0
36590.130999999,1
36590.130999999,0
36620.144999999,1
36620.144999999,0
36650.133999999,1
36650.133999999,0
37194.912,1
37194.912,0
37216.0,1
37216.0,0
37245.546,1
37245.546,0
38090.141999999,1
38090.141999999,0
38130.152,1
38130.152,0
38160.172999999,1
38160.172999999,0
39206.166,1
39206.166,0
39250.204,1
39250.204,0
39270.153999999,1
39270.153999999,0
39896.564,1
39896.564,0
41810.000000001,1
41810.000000001,0
41810.909110338,1
41810.909110338,0
47216.894,1
47216.894,0
47986.861999999,1
47986.861999999,0
49676.702999999,1
49676.702999999,0
50796.132,1
50796.132,0
51656.715,1
51656.715,0
52146.992,1
52146.992,0
54424.508,1
54424.508,0
58040.000000001,1
58040.000000001,0
58110.000000001,1
58110.000000001,0
61725.231,1
61725.231,0
65107.337,1
65107.337,0
66176.239,1
66176.239,0
66777.266,1
66777.266,0
70249.777,1
70249.777,0
70806.699999999,1
70806.699999999,0
72656.155,1
72656.155,0
72660.000000001,1
72660.000000001,0
73817.038999999,1
73817.038999999,0
76320.000000001,1
76320.000000001,0
76798.834,1
76798.834,0
77556.005,1
77556.005,0
78698.918,1
78698.918,0
79486.967,1
79486.967,0
79490.000000001,1
79490.000000001,0
89995.498999999,1
89995.498999999,0
93630.0,0
