Point in Time[s],State of Active Resource[]
0.0,0
34251.088,1
34251.088683987,0
34252.088,1
34252.088683987,0
34253.088,1
34253.088683987,0
34254.088,1
34254.088683987,0
34255.088,1
34255.088683987,0
34256.088,1
34256.088683987,0
34257.088,1
34257.088683987,0
34258.088,1
34258.088683987,0
34259.088,1
34259.088683987,0
34260.088,1
34260.088683987,0
34261.088,1
34261.088683987,0
34262.087999999,1
34262.088683986,0
34262.793,1
34262.793,0
34262.910000002,1
34262.910000002,0
34263.088000002,1
34263.088683989,0
34263.793000003,1
34263.793000003,0
34263.910000007,1
34263.910000007,0
34264.088000012,1
34264.088683999,0
34264.793000021,1
34264.793000021,0
34264.910000041,1
34264.910000041,0
34265.088000075,1
34265.088684062,0
34265.793000136,1
34265.793000136,0
34265.910000252,1
34265.910000252,0
34266.088000463,1
34266.08868445,0
34266.79300085,1
34266.79300085,0
34266.910001565,1
34266.910001565,0
34267.088002878,1
34267.088686865,0
34267.793005292,1
34267.793005292,0
34267.910009735,1
34267.910009735,0
34268.088017905,1
34268.088701892,0
34268.793015026,1
34268.793015026,0
34268.910009734,1
34268.910009734,0
34269.088009733,1
34269.08869372,0
34269.793019465,1
34269.793019465,0
34269.910019466,1
34269.910019466,0
34270.088009732,1
34270.088693719,0
34270.79300973,1
34270.79300973,0
34270.910019462,1
34270.910019462,0
34271.088019462,1
34271.088703449,0
34271.793009729,1
34271.793009729,0
34271.910009729,1
34271.910009729,0
34272.088019458,1
34272.088703445,0
34272.793019457,1
34272.793019457,0
34272.910009728,1
34272.910009728,0
34273.088009727,1
34273.088693714,0
34273.793019453,1
34273.793019453,0
34273.910019454,1
34273.910019454,0
34274.088009726,1
34274.088693713,0
34274.793009724,1
34274.793009724,0
34274.91001945,1
34274.91001945,0
34275.08801945,1
34275.088703437,0
34275.793009724,1
34275.793009724,0
34275.910009725,1
34275.910009725,0
34276.088019449,1
34276.088703436,0
34276.793019448,1
34276.793019448,0
34276.910009724,1
34276.910009724,0
34277.088009723,1
34277.08869371,0
34277.793019445,1
34277.793019445,0
34277.910019446,1
34277.910019446,0
34278.088009722,1
34278.088693709,0
34278.79300972,1
34278.79300972,0
34278.910019442,1
34278.910019442,0
34279.088019442,1
34279.088703429,0
34279.793009719,1
34279.793009719,0
34279.910009719,1
34279.910009719,0
34280.088019438,1
34280.088703425,0
34280.793019437,1
34280.793019437,0
34280.910009718,1
34280.910009718,0
34281.088009717,1
34281.088693704,0
34281.793019433,1
34281.793019433,0
34281.910019434,1
34281.910019434,0
34282.088009716,1
34282.088693703,0
34282.793009714,1
34282.793009714,0
34282.91001943,1
34282.91001943,0
34283.08801943,1
34283.088703417,0
34283.793009713,1
34283.793009713,0
34283.910009714,1
34283.910009714,0
34284.088019428,1
34284.088703415,0
34284.793019427,1
34284.793019427,0
34284.910009714,1
34284.910009714,0
34285.088009714,1
34285.088693701,0
34285.793019427,1
34285.793019427,0
34285.910019428,1
34285.910019428,0
34286.088009714,1
34286.088693701,0
34286.793009713,1
34286.793009713,0
34286.910019428,1
34286.910019428,0
34287.088019428,1
34287.088703415,0
34287.793009713,1
34287.793009713,0
34287.910009714,1
34287.910009714,0
34288.088019428,1
34288.088703415,0
34288.793019427,1
34288.793019427,0
34288.910009714,1
34288.910009714,0
34289.088009714,1
34289.088693701,0
34289.793019427,1
34289.793019427,0
34289.910019428,1
34289.910019428,0
34290.088009714,1
34290.088693701,0
34290.793009713,1
34290.793009713,0
34290.910019428,1
34290.910019428,0
34291.088019428,1
34291.088703415,0
34291.793009713,1
34291.793009713,0
34291.910009714,1
34291.910009714,0
34292.088019428,1
34292.088703415,0
34292.793019427,1
34292.793019427,0
34292.910009714,1
34292.910009714,0
34293.088009714,1
34293.088693701,0
34293.793019427,1
34293.793019427,0
34293.910019428,1
34293.910019428,0
34294.088009714,1
34294.088693701,0
34294.793009713,1
34294.793009713,0
34294.910019428,1
34294.910019428,0
34295.088019428,1
34295.088703415,0
34295.793009713,1
34295.793009713,0
34295.910009714,1
34295.910009714,0
34296.088019428,1
34296.088703415,0
34296.793019427,1
34296.793019427,0
34296.910009714,1
34296.910009714,0
34297.088009714,1
34297.088693701,0
34297.793019427,1
34297.793019427,0
34297.910019428,1
34297.910019428,0
34298.088009714,1
34298.088693701,0
34298.793009713,1
34298.793009713,0
34298.910019428,1
34298.910019428,0
34299.088019428,1
34299.088703415,0
34299.793009713,1
34299.793009713,0
34299.910009714,1
34299.910009714,0
34300.088019428,1
34300.088703415,0
34300.793019427,1
34300.793019427,0
34300.910009714,1
34300.910009714,0
34301.088009714,1
34301.088693701,0
34301.793019427,1
34301.793019427,0
34301.910019428,1
34301.910019428,0
34302.088009714,1
34302.088693701,0
34302.793009713,1
34302.793009713,0
34302.910019428,1
34302.910019428,0
34303.088019428,1
34303.088703415,0
34303.793009713,1
34303.793009713,0
34303.910009714,1
34303.910009714,0
34304.088019428,1
34304.088703415,0
34304.793019427,1
34304.793019427,0
34304.910009714,1
34304.910009714,0
34305.088009714,1
34305.088693701,0
34305.793019427,1
34305.793019427,0
34305.910019428,1
34305.910019428,0
34306.088009714,1
34306.088693701,0
34306.793009713,1
34306.793009713,0
34306.910019428,1
34306.910019428,0
