Point in Time[s],Optimisation Time[s]
10.0,0.107
20.0,0.062
30.0,0.053
40.0,0.037
50.0,0.029
60.0,0.025
70.0,0.031
80.0,0.027
90.0,0.031
100.0,0.027
110.0,0.028
120.0,0.024
130.0,0.019
140.0,0.02
150.0,0.022
160.0,0.026
170.0,0.021
180.0,0.015
190.0,0.019
200.0,0.022
210.0,0.018
220.0,0.023
230.0,0.018
240.0,0.013
250.0,0.011
260.0,0.092
270.0,0.067
280.0,0.02
290.0,0.032
300.0,0.021
310.0,0.032
320.0,0.04
330.0,0.02
340.0,0.011
350.0,0.031
360.0,0.033
370.0,0.02
380.0,0.02
390.0,0.017
400.0,0.033
410.0,0.021
420.0,0.033
430.0,0.031
440.0,0.022
450.0,0.029
460.0,0.027
470.0,0.051
480.0,0.013
490.0,0.016
500.0,0.015
510.0,0.02
520.0,0.028
530.0,0.014
540.0,0.032
550.0,0.017
560.0,0.02
570.0,0.01
580.0,0.013
590.0,0.019
600.0,0.017
610.0,0.026
620.0,0.019
630.0,0.016
640.0,0.016
650.0,0.027
660.0,0.02
670.0,0.014
680.0,0.024
690.0,0.029
700.0,0.033
710.0,0.032
720.0,0.021
730.0,0.05
740.0,0.021
750.0,0.059
760.0,0.03
770.0,0.022
780.0,0.017
790.0,0.032
800.0,0.022
810.0,0.022
820.0,0.021
830.0,0.015
840.0,0.01
850.0,0.014
860.0,0.021
870.0,0.015
880.0,0.086
890.0,0.079
900.0,0.019
910.0,0.015
920.0,0.025
930.0,0.022
940.0,0.029
950.0,0.025
960.0,0.017
970.0,0.013
980.0,0.013
990.0,0.01
1000.0,0.017
1010.0,0.015
1020.0,0.02
1030.0,0.026
1040.0,0.028
1050.0,0.032
1060.0,0.022
1070.0,0.027
1080.0,0.025
1090.0,0.018
1100.0,0.019
1110.0,0.058
1120.0,0.019
1130.0,0.013
1140.0,0.015
1150.0,0.018
1160.0,0.012
1170.0,0.016
1180.0,0.021
1190.0,0.015
1200.0,0.017
1210.0,0.012
1220.0,0.017
1230.0,0.025
1240.0,0.021
1250.0,0.018
1260.0,0.023
1270.0,0.025
1280.0,0.029
1290.0,0.027
1300.0,0.026
1310.0,0.025
1320.0,0.02
1330.0,0.037
1340.0,0.016
1350.0,0.025
1360.0,0.02
1370.0,0.024
1380.0,0.029
1390.0,0.021
1400.0,0.012
1410.0,0.014
1420.0,0.016
1430.0,0.021
1440.0,0.04
1450.0,0.059
1460.0,0.011
1470.0,0.015
1480.0,0.012
1490.0,0.011
1500.0,0.016
1510.0,0.009
1520.0,0.025
1530.0,0.015
1540.0,0.019
1550.0,0.032
1560.0,0.012
1570.0,0.012
1580.0,0.015
1590.0,0.009
1600.0,0.014
1610.0,0.017
1620.0,0.017
1630.0,0.01
1640.0,0.018
1650.0,0.018
1660.0,0.021
1670.0,0.01
1680.0,0.012
1690.0,0.01
1700.0,0.01
1710.0,0.018
1720.0,0.019
1730.0,0.01
1740.0,0.014
1750.0,0.016
1760.0,0.01
1770.0,0.01
1780.0,0.024
1790.0,0.01
1800.0,0.018
1810.0,0.018
1820.0,0.009
1830.0,0.014
1840.0,0.02
1850.0,0.023
1860.0,0.022
1870.0,0.022
1880.0,0.012
1890.0,0.014
1900.0,0.01
1910.0,0.013
1920.0,0.01
1930.0,0.01
1940.0,0.012
1950.0,0.009
1960.0,0.01
1970.0,0.011
1980.0,0.014
1990.0,0.01
2000.0,0.016
2010.0,0.036
2020.0,0.015
2030.0,0.013
2040.0,0.017
2050.0,0.012
2060.0,0.013
2070.0,0.016
2080.0,0.01
2090.0,0.01
2100.0,0.01
2110.0,0.02
2120.0,0.015
2130.0,0.03
2140.0,0.047
2150.0,0.016
2160.0,0.012
2170.0,0.015
2180.0,0.009
2190.0,0.013
2200.0,0.009
2210.0,0.012
2220.0,0.009
2230.0,0.013
2240.0,0.012
2250.0,0.017
2260.0,0.02
2270.0,0.012
2280.0,0.014
2290.0,0.016
2300.0,0.017
2310.0,0.022
2320.0,0.015
2330.0,0.018
2340.0,0.021
2350.0,0.019
2360.0,0.019
2370.0,0.01
2380.0,0.019
2390.0,0.01
2400.0,0.018
2410.0,0.017
2420.0,0.014
2430.0,0.016
2440.0,0.013
2450.0,0.019
2460.0,0.019
2470.0,0.012
2480.0,0.02
2490.0,0.018
2500.0,0.014
2510.0,0.015
2520.0,0.02
2530.0,0.015
2540.0,0.01
2550.0,0.02
2560.0,0.015
2570.0,0.016
2580.0,0.009
2590.0,0.009
2600.0,0.009
2610.0,0.02
2620.0,0.015
2630.0,0.014
2640.0,0.013
2650.0,0.023
2660.0,0.019
2670.0,0.015
2680.0,0.021
2690.0,0.019
2700.0,0.023
2710.0,0.021
2720.0,0.017
2730.0,0.021
2740.0,0.018
2750.0,0.019
2760.0,0.041
2770.0,0.02
2780.0,0.013
2790.0,0.016
2800.0,0.021
2810.0,0.026
2820.0,0.027
2830.0,0.01
2840.0,0.015
2850.0,0.015
2860.0,0.011
2870.0,0.014
2880.0,0.014
2890.0,0.009
2900.0,0.01
2910.0,0.01
2920.0,0.009
2930.0,0.014
2940.0,0.01
2950.0,0.015
2960.0,0.011
2970.0,0.016
2980.0,0.009
2990.0,0.016
3000.0,0.019
3010.0,0.017
3020.0,0.014
3030.0,0.021
3040.0,0.019
3050.0,0.021
3060.0,0.016
3070.0,0.012
3080.0,0.018
3090.0,0.018
3100.0,0.019
3110.0,0.01
3120.0,0.016
3130.0,0.015
3140.0,0.014
3150.0,0.02
3160.0,0.013
3170.0,0.009
3180.0,0.016
3190.0,0.013
3200.0,0.018
3210.0,0.025
3220.0,0.021
3230.0,0.018
3240.0,0.015
3250.0,0.017
3260.0,0.021
3270.0,0.015
3280.0,0.015
3290.0,0.014
3300.0,0.033
3310.0,0.03
3320.0,0.018
3330.0,0.045
3340.0,0.026
3350.0,0.028
3360.0,0.022
3370.0,0.016
3380.0,0.021
3390.0,0.02
3400.0,0.022
3410.0,0.05
3420.0,0.025
3430.0,0.013
3440.0,0.015
3450.0,0.018
3460.0,0.017
3470.0,0.017
3480.0,0.014
3490.0,0.023
3500.0,0.019
3510.0,0.032
3520.0,0.019
3530.0,0.022
3540.0,0.016
3550.0,0.017
3560.0,0.017
3570.0,0.009
3580.0,0.014
3590.0,0.01
3600.0,0.014
3610.0,0.01
3620.0,0.016
3630.0,0.028
3640.0,0.03
3650.0,0.016
3660.0,0.015
3670.0,0.086
3680.0,0.036
3690.0,0.037
3700.0,0.021
3710.0,0.029
3720.0,0.04
3730.0,0.023
3740.0,0.045
3750.0,0.029
3760.0,0.023
3770.0,0.024
3780.0,0.027
3790.0,0.036
3800.0,0.028
3810.0,0.027
3820.0,0.029
3830.0,0.03
3840.0,0.025
3850.0,0.032
3860.0,0.032
3870.0,0.037
3880.0,0.026
3890.0,0.037
3900.0,0.033
3910.0,0.026
3920.0,0.027
3930.0,0.024
3940.0,0.028
3950.0,0.018
3960.0,0.025
3970.0,0.026
3980.0,0.024
3990.0,0.029
4000.0,0.029
4010.0,0.024
4020.0,0.027
4030.0,0.036
4040.0,0.027
4050.0,0.034
4060.0,0.024
4070.0,0.025
4080.0,0.024
4090.0,0.026
4100.0,0.026
4110.0,0.023
4120.0,0.048
4130.0,0.035
4140.0,0.032
4150.0,0.025
4160.0,0.029
4170.0,0.031
4180.0,0.025
4190.0,0.019
4200.0,0.023
4210.0,0.026
4220.0,0.025
4230.0,0.026
4240.0,0.024
4250.0,0.024
4260.0,0.023
4270.0,0.024
4280.0,0.024
4290.0,0.026
4300.0,0.024
4310.0,0.027
4320.0,0.025
4330.0,0.031
4340.0,0.018
4350.0,0.024
4360.0,0.029
4370.0,0.041
4380.0,0.024
4390.0,0.024
4400.0,0.022
4410.0,0.021
4420.0,0.019
4430.0,0.028
4440.0,0.028
4450.0,0.024
4460.0,0.026
4470.0,0.026
4480.0,0.023
4490.0,0.028
4500.0,0.026
4510.0,0.024
4520.0,0.035
4530.0,0.025
4540.0,0.024
4550.0,0.024
4560.0,0.022
4570.0,0.029
4580.0,0.023
4590.0,0.026
4600.0,0.019
4610.0,0.028
4620.0,0.017
4630.0,0.024
4640.0,0.016
4650.0,0.025
4660.0,0.02
4670.0,0.025
4680.0,0.021
4690.0,0.025
4700.0,0.015
4710.0,0.023
4720.0,0.015
4730.0,0.022
4740.0,0.026
4750.0,0.026
4760.0,0.022
4770.0,0.025
4780.0,0.017
4790.0,0.026
4800.0,0.015
4810.0,0.022
4820.0,0.035
4830.0,0.035
4840.0,0.025
4850.0,0.024
4860.0,0.018
4870.0,0.02
4880.0,0.017
4890.0,0.027
4900.0,0.023
4910.0,0.028
4920.0,0.029
4930.0,0.028
4940.0,0.027
4950.0,0.027
4960.0,0.023
4970.0,0.018
4980.0,0.023
4990.0,0.024
5000.0,0.024
5010.0,0.027
5020.0,0.02
5030.0,0.025
5040.0,0.026
5050.0,0.023
5060.0,0.028
5070.0,0.027
5080.0,0.018
5090.0,0.022
5100.0,0.034
5110.0,0.029
5120.0,0.017
5130.0,0.029
5140.0,0.029
