Point in Time[s],State of Active Resource[]
0.0,0
39896.564,1
39896.642181818,0
39897.564,1
39897.642181818,0
39898.564,1
39898.642181818,0
39899.564,1
39899.644,0
39900.564,1
39900.644,0
39901.564,1
39901.644,0
39902.564,1
39902.644,0
39903.564,1
39903.644,0
39904.564,1
39904.644,0
39905.564,1
39905.644,0
39906.564,1
39906.644,0
39907.564,1
39907.644,0
39908.564,1
39908.644,0
39909.564,1
39909.644,0
39910.564,1
39910.644,0
39911.564,1
39911.644,0
39912.564,1
39912.644,0
39913.564,1
39913.644,0
39914.564,1
39914.644,0
39915.564,1
39915.644,0
39916.564,1
39916.644,0
39917.564,1
39917.644,0
39918.564,1
39918.644,0
39919.564,1
39919.644,0
39920.564,1
39920.644,0
39921.564,1
39921.644,0
39922.564,1
39922.644,0
39923.564,1
39923.644,0
39924.564,1
39924.644,0
39925.564,1
39925.644,0
39926.564,1
39926.644,0
39927.564,1
39927.644,0
39928.564,1
39928.644,0
39929.564,1
39929.644,0
39930.564,1
39930.644,0
39931.564,1
39931.644,0
39932.564,1
39932.644,0
39933.564,1
39933.644,0
39934.564,1
39934.644,0
39935.564,1
39935.644,0
39936.564,1
39936.644,0
39937.564,1
39937.644,0
39938.564,1
39938.644,0
39939.564,1
39939.644,0
39940.564,1
39940.644,0
39941.564,1
39941.644,0
39942.564,1
39942.644,0
39943.564,1
39943.644,0
39944.564,1
39944.644,0
39945.564,1
39945.644,0
39946.564,1
39946.644,0
39947.564,1
39947.644,0
39948.564,1
39948.644,0
39949.564,1
39949.644,0
39950.564,1
39950.644,0
39951.564,1
39951.643393939,0
39952.564,1
39952.643393939,0
39953.564,1
39953.643393939,0
39954.564,1
39954.641272727,0
39955.564,1
39955.641272727,0
39956.564,1
39956.639151515,0
39957.564,1
39957.639151515,0
39958.564,1
39958.639151515,0
39959.564,1
39959.637333333,0
39960.564,1
39960.637333333,0
39961.564,1
39961.635212121,0
39962.564,1
39962.635212121,0
39963.564,1
39963.635212121,0
39964.564,1
39964.633393939,0
39965.564,1
39965.633393939,0
39966.564,1
39966.633393939,0
39967.564,1
39967.631272727,0
39968.564,1
39968.631272727,0
39969.564,1
39969.629454545,0
39970.564,1
39970.629454545,0
39971.564,1
39971.629454545,0
39972.564,1
39972.627333333,0
39973.564,1
39973.627333333,0
39974.564,1
39974.625212121,0
39975.564,1
