Point in Time[s],State of Active Resource[]
0.0,0
34250.088,1
34251.088,0
34251.088,1
34252.088,0
34252.088,1
34253.088,0
34253.088,1
34254.088,0
34254.088,1
34255.088,0
34255.088,1
34256.088,0
34256.088,1
34257.088,0
34257.088,1
34258.088,0
34258.088,1
34259.088,0
34259.088,1
34261.088,0
34261.088,1
41812.165999999,0
65107.337,1
65108.337,0
65108.337,1
65109.337,0
65109.337,1
65110.337,0
65110.337,1
65111.337,0
65111.337,1
65112.337,0
65112.337,1
65113.337,0
65113.337,1
65114.337,0
65114.337,1
65115.337,0
65115.337,1
65116.337,0
65116.337,1
65117.337,0
65117.337,1
65118.337,0
65118.337,1
65119.337,0
65119.337,1
65120.337,0
65120.337,1
65121.337,0
65121.337,1
65122.337,0
65122.337,1
65123.337,0
65123.337,1
65124.337,0
65124.337,1
65125.337,0
65125.337,1
65126.337,0
65126.337,1
65127.337,0
65127.337,1
65128.337,0
65128.337,1
65129.337,0
65129.337,1
65130.337,0
65130.337,1
65131.337,0
65131.337,1
65132.337,0
65132.337,1
65133.337,0
65133.337,1
65134.337,0
65134.337,1
65135.337,0
65135.337,1
65136.337,0
65136.337,1
65137.337,0
65137.337,1
65138.337,0
65138.337,1
65139.337,0
65139.337,1
65140.337,0
65140.337,1
65141.337,0
65141.337,1
65142.337,0
65142.337,1
65143.337,0
65143.337,1
65144.337,0
65144.337,1
65145.337,0
65145.337,1
65146.337,0
65146.337,1
65147.337,0
65147.337,1
65148.337,0
65148.337,1
65149.337,0
65149.337,1
65150.337,0
65150.337,1
65151.337,0
65151.337,1
65152.337,0
65152.337,1
65153.337,0
65153.337,1
65154.337,0
65154.337,1
65155.337,0
65155.337,1
65156.337,0
65156.337,1
65157.337,0
65157.337,1
65158.337,0
65158.337,1
65159.337,0
65159.337,1
65160.337,0
65160.337,1
65161.337,0
65161.337,1
65162.337,0
65162.337,1
65163.337,0
65163.337,1
65164.337,0
65164.337,1
65165.337,0
65165.337,1
65166.337,0
65166.337,1
65167.337,0
65167.337,1
65168.337,0
65168.337,1
65169.337,0
65169.337,1
65170.337,0
65170.337,1
65171.337,0
65171.337,1
65172.337,0
65172.337,1
65173.337,0
65173.337,1
65174.337,0
65174.337,1
65175.337,0
65175.337,1
65176.337,0
65176.337,1
65177.337,0
65177.337,1
65178.337,0
65178.337,1
65179.337,0
65179.337,1
65180.337,0
65180.337,1
65181.337,0
65181.337,1
65182.337,0
65182.337,1
65183.337,0
65183.337,1
65184.337,0
65184.337,1
65185.337,0
65185.337,1
65186.337,0
65186.337,1
65187.337,0
65187.337,1
65188.337,0
65188.337,1
65189.337,0
65189.337,1
65190.337,0
65190.337,1
65191.337,0
65191.337,1
65192.337,0
65192.337,1
65193.337,0
65193.337,1
65194.337,0
65194.337,1
65195.337,0
65195.337,1
65196.337,0
65196.337,1
65197.337,0
65197.337,1
65198.337,0
65198.337,1
65199.337,0
65199.337,1
65200.337,0
65200.337,1
65201.337,0
65201.337,1
65202.337,0
65202.337,1
65203.337,0
65203.337,1
65204.337,0
65204.337,1
65205.337,0
65205.337,1
65206.337,0
65206.337,1
65207.337,0
65207.337,1
65208.337,0
65208.337,1
65209.337,0
65209.337,1
65210.337,0
65210.337,1
65211.337,0
65211.337,1
65212.337,0
65212.337,1
65213.337,0
65213.337,1
65214.337,0
65214.337,1
65215.337,0
65215.337,1
65216.337,0
65216.337,1
65217.337,0
65217.337,1
65218.337,0
65218.337,1
65219.337,0
65219.337,1
65220.337,0
65220.337,1
65221.337,0
65221.337,1
65222.337,0
65222.337,1
65223.337,0
65223.337,1
65224.337,0
65224.337,1
65225.337,0
65225.337,1
65226.337,0
65226.337,1
65227.337,0
65227.337,1
65228.337,0
65228.337,1
65229.337,0
65229.337,1
65230.337,0
65230.337,1
65231.337,0
65231.337,1
65232.337,0
65232.337,1
65233.337,0
65233.337,1
65234.337,0
65234.337,1
65235.337,0
65235.337,1
65236.337,0
65236.337,1
65237.337,0
65237.337,1
65238.337,0
65238.337,1
65239.337,0
65239.337,1
65240.337,0
65240.337,1
65241.337,0
65241.337,1
65242.337,0
65242.337,1
65243.337,0
65243.337,1
65244.337,0
65244.337,1
65245.337,0
65245.337,1
65246.337,0
65246.337,1
65247.337,0
65247.337,1
65248.337,0
