Point in Time[s],State of Active Resource[]
0.0,0
3665.519151515,1
3665.519151515,0
3666.519151515,1
3666.519151515,0
3667.519151515,1
3667.519151515,0
3668.519151515,1
3668.519151515,0
3669.519151515,1
3669.519151515,0
3670.520060606,1
3670.520060606,0
3671.520060606,1
3671.520060606,0
3672.520060606,1
3672.520060606,0
3673.520060606,1
3673.520060606,0
3674.520969696,1
3674.520969696,0
3675.520969696,1
3675.520969696,0
3676.520969696,1
3676.520969696,0
3677.520969696,1
3677.520969696,0
3678.520969696,1
3678.520969696,0
3679.521878787,1
3679.521878787,0
3680.521878787,1
3680.521878787,0
3681.521878787,1
3681.521878787,0
3682.521878787,1
3682.521878787,0
3683.523090909,1
3683.523090909,0
3684.523090909,1
3684.523090909,0
3685.523090909,1
3685.523090909,0
3686.523090909,1
3686.523090909,0
3687.523090909,1
3687.523090909,0
3688.524,1
3688.524,0
3689.524,1
3689.524,0
3690.524,1
3690.524,0
3691.524,1
3691.524,0
3692.523090909,1
3692.523090909,0
3693.523090909,1
3693.523090909,0
3694.523090909,1
3694.523090909,0
3695.523090909,1
3695.523090909,0
3696.523090909,1
3696.523090909,0
3697.521878787,1
3697.521878787,0
3698.521878787,1
3698.521878787,0
3699.521878787,1
3699.521878787,0
3700.521878787,1
3700.521878787,0
3701.520969696,1
3701.520969696,0
3702.520969696,1
3702.520969696,0
3703.520969696,1
3703.520969696,0
3704.520969696,1
3704.520969696,0
3705.520969696,1
3705.520969696,0
3706.520060606,1
3706.520060606,0
3707.520060606,1
3707.520060606,0
3708.520060606,1
3708.520060606,0
3709.520060606,1
3709.520060606,0
3710.518848484,1
3710.518848484,0
3711.518848484,1
3711.518848484,0
3712.518848484,1
3712.518848484,0
3713.518848484,1
3713.518848484,0
3714.518848484,1
3714.518848484,0
3715.517939393,1
3715.517939393,0
3716.517939393,1
3716.517939393,0
3717.517939393,1
3717.517939393,0
3718.517939393,1
3718.517939393,0
3719.517030303,1
3719.517030303,0
3720.517030303,1
3720.517030303,0
3721.517030303,1
3721.517030303,0
3722.517030303,1
3722.517030303,0
3723.517030303,1
3723.517030303,0
3724.516121212,1
3724.516121212,0
3725.516121212,1
3725.516121212,0
3726.516121212,1
3726.516121212,0
3727.516121212,1
3727.516121212,0
3728.51490909,1
3728.51490909,0
3729.51490909,1
3729.51490909,0
3730.51490909,1
3730.51490909,0
3731.51490909,1
3731.51490909,0
3732.51490909,1
3732.51490909,0
3733.514,1
3733.514,0
3734.514,1
3734.514,0
3735.514,1
3735.514,0
3736.514,1
3736.514,0
3737.513090909,1
3737.513090909,0
3738.513090909,1
3738.513090909,0
3739.513090909,1
3739.513090909,0
3740.513090909,1
3740.513090909,0
3741.513090909,1
3741.513090909,0
3742.511878787,1
3742.511878787,0
3743.511878787,1
3743.511878787,0
3744.511878787,1
3744.511878787,0
3745.511878787,1
3745.511878787,0
3746.510969696,1
3746.510969696,0
3747.510969696,1
3747.510969696,0
3748.510969696,1
3748.510969696,0
3749.510969696,1
3749.510969696,0
3750.510969696,1
3750.510969696,0
3751.510060606,1
3751.510060606,0
3752.510060606,1
3752.510060606,0
3753.510060606,1
3753.510060606,0
3754.510060606,1
3754.510060606,0
3755.509151515,1
3755.509151515,0
3756.509151515,1
3756.509151515,0
3757.509151515,1
3757.509151515,0
3758.509151515,1
3758.509151515,0
3759.509151515,1
3759.509151515,0
3760.507939393,1
3760.507939393,0
3761.507939393,1
3761.507939393,0
3762.507939393,1
3762.507939393,0
3763.507939393,1
3763.507939393,0
3764.507030303,1
3764.507030303,0
3765.507030303,1
3765.507030303,0
3766.507030303,1
3766.507030303,0
3767.507030303,1
3767.507030303,0
3768.507030303,1
3768.507030303,0
3769.506121212,1
3769.506121212,0
3770.506121212,1
3770.506121212,0
3771.506121212,1
3771.506121212,0
3772.506121212,1
3772.506121212,0
3773.50490909,1
3773.50490909,0
3774.50490909,1
3774.50490909,0
3775.50490909,1
3775.50490909,0
3776.50490909,1
3776.50490909,0
3777.50490909,1
3777.50490909,0
3778.503999999,1
3778.503999999,0
3779.504,1
3779.504,0
3780.504,1
3780.504,0
3781.504,1
3781.504,0
3782.504,1
3782.504,0
3783.504,1
3783.504,0
3784.504,1
3784.504,0
3785.504,1
3785.504,0
3786.504,1
3786.504,0
3787.504,1
3787.504,0
3788.504,1
3788.504,0
3789.504,1
3789.504,0
3790.504,1
3790.504,0
3791.504,1
3791.504,0
3792.504,1
3792.504,0
3793.504,1
3793.504,0
3794.504,1
3794.504,0
3795.504,1
3795.504,0
3796.504,1
3796.504,0
3797.504,1
3797.504,0
3798.504,1
3798.504,0
3799.504,1
3799.504,0
3800.504,1
3800.504,0
3801.504,1
3801.504,0
3802.504,1
3802.504,0
3803.504,1
3803.504,0
3804.504,1
3804.504,0
3805.504,1
3805.504,0
3806.504,1
3806.504,0
3807.504,1
3807.504,0
3808.504,1
3808.504,0
3809.504,1
3809.504,0
3810.504,1
3810.504,0
3811.504,1
3811.504,0
3812.504,1
3812.504,0
3813.504,1
3813.504,0
3814.504,1
3814.504,0
3815.504,1
3815.504,0
3816.504,1
3816.504,0
3817.504,1
3817.504,0
3818.504,1
3818.504,0
3819.504,1
3819.504,0
3820.504,1
3820.504,0
3821.504,1
3821.504,0
3822.504,1
3822.504,0
3823.504,1
3823.504,0
3824.504,1
3824.504,0
3825.504,1
3825.504,0
3826.504,1
3826.504,0
3827.504,1
3827.504,0
3828.504,1
3828.504,0
3829.504,1
3829.504,0
3830.504,1
3830.504,0
3831.504,1
3831.504,0
3832.504,1
3832.504,0
3833.504,1
3833.504,0
3834.504,1
3834.504,0
3835.504,1
3835.504,0
3836.504,1
3836.504,0
3837.504,1
3837.504,0
3838.504,1
3838.504,0
3839.504,1
3839.504,0
3840.504,1
3840.504,0
3841.504,1
3841.504,0
3842.504,1
3842.504,0
3843.504,1
3843.504,0
3844.504,1
3844.504,0
3845.504,1
3845.504,0
3846.504,1
3846.504,0
3847.504,1
3847.504,0
3848.504,1
3848.504,0
3849.504,1
3849.504,0
3850.504,1
3850.504,0
3851.504,1
3851.504,0
3852.504,1
3852.504,0
3853.504,1
3853.504,0
3854.504,1
3854.504,0
3855.504,1
3855.504,0
3856.504,1
3856.504,0
3857.504,1
3857.504,0
3858.504,1
3858.504,0
3859.504,1
3859.504,0
3860.504,1
3860.504,0
3861.504,1
