Point in Time[s],Optimisation Time[s]
10.0,0.223
20.0,0.097
30.0,0.115
40.0,0.071
50.0,0.131
60.0,0.07
70.0,0.072
80.0,0.11
90.0,0.053
100.0,0.048
110.0,0.07
120.0,0.06
130.0,0.054
140.0,0.053
150.0,0.058
160.0,0.052
170.0,0.055
180.0,0.057
190.0,0.07
200.0,0.051
210.0,0.049
220.0,0.059
230.0,0.059
240.0,0.059
250.0,0.052
260.0,0.074
270.0,0.066
280.0,0.069
290.0,0.069
300.0,0.047
310.0,0.054
320.0,0.054
330.0,0.055
340.0,0.045
350.0,0.055
360.0,0.049
370.0,0.049
380.0,0.055
390.0,0.067
400.0,0.058
410.0,0.068
420.0,0.066
430.0,0.079
440.0,0.09
450.0,0.046
460.0,0.046
470.0,0.083
480.0,0.058
490.0,0.052
500.0,0.045
510.0,0.067
520.0,0.063
530.0,0.056
540.0,0.087
550.0,4.078
560.0,0.061
570.0,0.032
580.0,0.03
590.0,0.036
600.0,0.045
610.0,0.048
620.0,0.054
630.0,0.04
640.0,0.035
650.0,0.064
660.0,0.043
670.0,0.04
680.0,0.032
690.0,0.06
700.0,0.035
710.0,0.031
720.0,0.036
730.0,0.025
740.0,0.029
750.0,0.028
760.0,0.033
770.0,0.047
780.0,0.038
790.0,0.044
800.0,0.031
810.0,0.035
820.0,0.039
830.0,0.037
840.0,0.027
850.0,0.034
860.0,0.047
870.0,0.05
880.0,0.047
890.0,0.044
900.0,0.042
910.0,0.028
920.0,0.034
930.0,0.034
940.0,0.038
950.0,0.028
960.0,0.03
970.0,0.039
980.0,0.03
990.0,0.041
1000.0,0.034
1010.0,0.027
1020.0,0.057
1030.0,0.041
1040.0,0.032
1050.0,0.028
1060.0,0.023
1070.0,0.035
1080.0,0.038
1090.0,0.042
1100.0,0.029
1110.0,0.048
1120.0,0.049
1130.0,0.054
1140.0,0.042
1150.0,0.03
1160.0,0.029
1170.0,0.027
1180.0,0.036
1190.0,0.042
1200.0,0.037
1210.0,0.032
1220.0,0.06
1230.0,0.031
1240.0,0.028
1250.0,0.037
1260.0,0.028
1270.0,0.027
1280.0,0.032
1290.0,0.044
1300.0,0.075
1310.0,0.049
1320.0,0.045
1330.0,0.034
1340.0,0.034
1350.0,0.052
1360.0,0.039
1370.0,0.046
1380.0,0.061
1390.0,0.042
1400.0,0.063
1410.0,0.046
1420.0,0.049
1430.0,0.057
1440.0,0.041
1450.0,0.035
1460.0,0.03
1470.0,0.037
1480.0,0.027
1490.0,0.025
1500.0,0.027
1510.0,0.031
1520.0,0.033
1530.0,0.054
1540.0,0.026
1550.0,0.026
1560.0,0.035
1570.0,0.048
1580.0,0.051
1590.0,0.037
1600.0,0.04
1610.0,0.04
1620.0,0.027
1630.0,0.051
1640.0,0.048
1650.0,0.031
1660.0,0.024
1670.0,0.027
1680.0,0.028
1690.0,0.032
1700.0,0.037
1710.0,0.029
1720.0,0.028
1730.0,0.027
1740.0,0.03
1750.0,0.032
1760.0,0.045
1770.0,0.042
1780.0,0.033
1790.0,0.023
1800.0,0.033
1810.0,0.039
1820.0,0.043
1830.0,0.037
1840.0,0.033
1850.0,0.035
1860.0,0.031
1870.0,0.037
1880.0,0.042
1890.0,0.035
1900.0,0.033
1910.0,0.03
1920.0,0.037
1930.0,0.027
1940.0,0.021
1950.0,0.035
1960.0,0.033
1970.0,0.034
1980.0,0.058
1990.0,0.039
2000.0,0.032
2010.0,0.042
2020.0,0.046
2030.0,0.051
2040.0,0.055
2050.0,0.075
2060.0,0.054
2070.0,0.04
2080.0,0.037
2090.0,0.031
2100.0,0.038
2110.0,0.035
2120.0,0.033
2130.0,0.029
2140.0,0.028
2150.0,0.03
2160.0,0.033
2170.0,0.032
2180.0,0.032
2190.0,0.032
2200.0,0.04
2210.0,0.041
2220.0,0.043
2230.0,0.037
2240.0,0.032
2250.0,0.033
2260.0,0.027
2270.0,0.052
2280.0,0.03
2290.0,0.037
2300.0,0.03
2310.0,0.033
2320.0,0.03
2330.0,0.041
2340.0,0.031
2350.0,0.034
2360.0,0.038
2370.0,0.031
2380.0,0.049
2390.0,0.027
2400.0,0.042
2410.0,0.044
2420.0,0.075
2430.0,0.047
2440.0,0.039
2450.0,0.034
2460.0,0.042
2470.0,0.034
2480.0,0.033
2490.0,0.034
2500.0,0.037
2510.0,0.045
2520.0,0.087
2530.0,0.044
2540.0,0.032
2550.0,0.046
2560.0,0.037
2570.0,0.037
2580.0,0.032
2590.0,0.042
2600.0,0.032
2610.0,0.037
2620.0,0.036
2630.0,0.032
2640.0,0.027
2650.0,0.03
2660.0,0.033
2670.0,0.043
2680.0,0.029
2690.0,0.044
2700.0,0.038
2710.0,0.035
2720.0,0.042
2730.0,0.043
2740.0,0.105
2750.0,0.036
2760.0,0.042
2770.0,0.037
2780.0,0.042
2790.0,0.037
2800.0,0.049
2810.0,0.031
2820.0,0.051
2830.0,0.052
2840.0,0.04
2850.0,0.032
2860.0,0.034
2870.0,0.031
2880.0,0.034
2890.0,0.04
2900.0,0.039
2910.0,0.036
2920.0,0.032
2930.0,0.038
2940.0,0.039
2950.0,0.038
2960.0,0.04
2970.0,0.045
2980.0,0.063
2990.0,0.037
3000.0,0.04
3010.0,0.029
3020.0,0.028
3030.0,0.033
3040.0,0.034
3050.0,0.031
3060.0,0.038
3070.0,0.039
3080.0,0.036
3090.0,0.031
3100.0,0.039
3110.0,0.034
3120.0,0.032
3130.0,0.033
3140.0,0.033
3150.0,0.049
3160.0,0.046
3170.0,0.049
3180.0,0.066
3190.0,0.038
3200.0,0.053
3210.0,0.037
3220.0,0.043
3230.0,0.047
3240.0,0.042
3250.0,0.037
3260.0,0.05
3270.0,0.035
3280.0,0.035
3290.0,0.042
3300.0,0.038
3310.0,0.038
3320.0,0.057
3330.0,0.039
3340.0,0.042
3350.0,0.057
3360.0,0.05
3370.0,0.042
3380.0,0.037
3390.0,0.047
3400.0,0.05
3410.0,0.051
3420.0,0.034
3430.0,0.049
3440.0,0.049
3450.0,0.043
3460.0,0.033
3470.0,0.034
3480.0,0.04
3490.0,0.047
3500.0,0.079
3510.0,0.038
3520.0,0.034
3530.0,0.04
3540.0,0.041
3550.0,0.053
3560.0,0.04
3570.0,0.044
3580.0,0.031
3590.0,0.029
3600.0,0.026
3610.0,0.024
3620.0,0.029
3630.0,0.026
3640.0,0.022
3650.0,0.028
3660.0,0.038
3670.0,0.072
3680.0,0.08
3690.0,0.053
3700.0,0.057
3710.0,0.041
3720.0,0.048
3730.0,0.029
3740.0,0.033
3750.0,0.023
3760.0,0.027
3770.0,0.024
3780.0,0.024
3790.0,0.021
3800.0,0.03
3810.0,0.024
3820.0,0.029
3830.0,0.025
3840.0,0.025
3850.0,0.024
3860.0,0.028
3870.0,0.026
3880.0,0.028
3890.0,0.02
3900.0,0.024
3910.0,0.024
3920.0,0.027
3930.0,0.015
3940.0,0.031
3950.0,0.019
3960.0,0.027
3970.0,0.02
3980.0,0.022
3990.0,0.023
4000.0,0.024
4010.0,0.022
4020.0,0.023
4030.0,0.024
4040.0,0.029
4050.0,0.024
4060.0,0.016
4070.0,0.018
4080.0,0.024
4090.0,0.023
4100.0,0.021
4110.0,0.021
4120.0,0.025
4130.0,0.022
4140.0,0.027
4150.0,0.018
4160.0,0.028
4170.0,0.022
4180.0,0.029
4190.0,0.021
4200.0,0.016
4210.0,0.021
4220.0,0.029
4230.0,0.022
