Point in Time[s],State of Active Resource[]
0.0,0
3664.504,1
3778.503999999,0
3778.504,1
3779.504,0
3779.504,1
3780.504,0
3780.504,1
3781.504,0
3781.504,1
3782.504,0
3782.504,1
3783.504,0
3783.504,1
3784.504,0
3784.504,1
3785.504,0
3785.504,1
3786.504,0
3786.504,1
3787.504,0
3787.504,1
3788.504,0
3788.504,1
3789.504,0
3789.504,1
3790.504,0
3790.504,1
3791.504,0
3791.504,1
3792.504,0
3792.504,1
3793.504,0
3793.504,1
3794.504,0
3794.504,1
3795.504,0
3795.504,1
3796.504,0
3796.504,1
3797.504,0
3797.504,1
3798.504,0
3798.504,1
3799.504,0
3799.504,1
3800.504,0
3800.504,1
3801.504,0
3801.504,1
3802.504,0
3802.504,1
3803.504,0
3803.504,1
3804.504,0
3804.504,1
3805.504,0
3805.504,1
3806.504,0
3806.504,1
3807.504,0
3807.504,1
3808.504,0
3808.504,1
3809.504,0
3809.504,1
3810.504,0
3810.504,1
3811.504,0
3811.504,1
3812.504,0
3812.504,1
3813.504,0
3813.504,1
3814.504,0
3814.504,1
3815.504,0
3815.504,1
3816.504,0
3816.504,1
3817.504,0
3817.504,1
3818.504,0
3818.504,1
3819.504,0
3819.504,1
3820.504,0
3820.504,1
3821.504,0
3821.504,1
3822.504,0
3822.504,1
3823.504,0
3823.504,1
3824.504,0
3824.504,1
3825.504,0
3825.504,1
3826.504,0
3826.504,1
3827.504,0
3827.504,1
3828.504,0
3828.504,1
3829.504,0
3829.504,1
3830.504,0
3830.504,1
3831.504,0
3831.504,1
3832.504,0
3832.504,1
3833.504,0
3833.504,1
3834.504,0
3834.504,1
3835.504,0
3835.504,1
3836.504,0
3836.504,1
3837.504,0
3837.504,1
3838.504,0
3838.504,1
3839.504,0
3839.504,1
3840.504,0
3840.504,1
3841.504,0
3841.504,1
3842.504,0
3842.504,1
3843.504,0
3843.504,1
3844.504,0
3844.504,1
3845.504,0
3845.504,1
3846.504,0
3846.504,1
3847.504,0
3847.504,1
3848.504,0
3848.504,1
3849.504,0
3849.504,1
3850.504,0
3850.504,1
3851.504,0
3851.504,1
3852.504,0
3852.504,1
3853.504,0
3853.504,1
3854.504,0
3854.504,1
3855.504,0
3855.504,1
3856.504,0
3856.504,1
3857.504,0
3857.504,1
3858.504,0
3858.504,1
3859.504,0
3859.504,1
3860.504,0
3860.504,1
3861.504,0
3861.504,1
3862.504,0
3862.504,1
3863.504,0
3863.504,1
3864.504,0
3864.504,1
3865.504,0
3865.504,1
3866.504,0
3866.504,1
3867.504,0
3867.504,1
3868.504,0
3868.504,1
3869.504,0
3869.504,1
3870.504,0
3870.504,1
3871.504,0
3871.504,1
3872.503090909,0
3872.504,1
3873.503090909,0
3873.504,1
3874.503090909,0
3874.504,1
3875.503090909,0
3875.504,1
3876.502181818,0
3876.504,1
3877.502181818,0
3877.504,1
3878.502181818,0
3878.504,1
3879.502181818,0
3879.504,1
3880.502181818,0
3880.504,1
3881.501272727,0
3881.504,1
3882.501272727,0
3882.504,1
3883.501272727,0
3883.504,1
3884.501272727,0
3884.504,1
3885.500060606,0
3885.504,1
3886.500060606,0
3886.504,1
3887.500060606,0
3887.504,1
3888.500060606,0
3888.504,1
3889.500060606,0
3889.504,1
3890.499151515,0
3890.504,1
3891.499151515,0
3891.504,1
3892.499151515,0
3892.504,1
3893.499151515,0
3893.504,1
3894.498242424,0
3894.504,1
3895.498242424,0
3895.504,1
3896.498242424,0
3896.504,1
3897.498242424,0
3897.504,1
3898.498242424,0
3898.504,1
3899.497333333,0
3899.504,1
3900.497333333,0
3900.504,1
3901.497333333,0
3901.504,1
3902.497333333,0
3902.504,1
3903.496121212,0
3903.504,1
3904.496121212,0
3904.504,1
3905.496121212,0
3905.504,1
3906.496121212,0
3906.504,1
